# TOTAL_GENES = 51403
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                 TYPE  NGENES         BETA     BETA_STD           SE            P
Astro_dev-1               SET    1685     0.009502     0.001692     0.028037      0.36734
Astro_dev-2               SET    1686    0.0080228     0.001429     0.027488       0.3852
Astro_dev-3               SET    1622     0.043346    0.0075775     0.027768     0.059267
Astro_dev-4               SET    1799   -0.0022831  -0.00041958     0.026587      0.53422
Astro_dev-5               SET    1230     0.013621    0.0020817     0.031725      0.33384
Astro_GFAP                SET    1687    -0.015623   -0.0027834      0.02742      0.71557
Astro_SLC1A2              SET    1692     0.018246    0.0032555     0.028036      0.25759
Astro_SLC1A2_dev          SET    1687      0.01614    0.0028756     0.027986      0.28207
BKGR_NRGN                 SET    1673      0.01817    0.0032243      0.02715      0.25166
CCK_RELN                  SET    1794     0.039785    0.0073018     0.026896     0.069548
CCK_SORCS1                SET    1819     0.033982    0.0062785      0.02624     0.097659
CCK_SYT6                  SET    1756    0.0091171    0.0016561     0.026798      0.36685
CGE_dev                   SET    1648     0.092554     0.016305     0.027215   0.00033625
ID2_CSMD1                 SET    1781     0.014032    0.0025663     0.026734      0.29983
ID2_dev                   SET    1661     0.087831     0.015531     0.027763   0.00077992
L2_CUX2_LAMP5             SET    1821      0.02704    0.0049985     0.026414        0.153
L2_CUX2_LAMP5_dev         SET    1798     0.064737     0.011894     0.026082    0.0065341
L2-3_CUX2_dev-1           SET    1796     0.062295     0.011439     0.026467    0.0092968
L2-3_CUX2_dev-2           SET    1827     0.028995    0.0053684     0.026299      0.13512
L2-3_CUX2_dev-3           SET    1822     0.033655    0.0062231     0.026348      0.10075
L2-3_CUX2_dev-4           SET    1711     0.065722      0.01179     0.026833    0.0071587
L2-3_CUX2_dev-5           SET    1797     0.044146    0.0081086     0.026324     0.046772
L2-3_CUX2_dev-6           SET    1749     0.073322     0.013293     0.026458    0.0027937
L2-3_CUX2_dev-fetal       SET    1760     0.053242    0.0096818     0.026586     0.022611
L3_CUX2_PRSS12            SET    1804     0.033465    0.0061583     0.026386      0.10236
L4_RORB_dev-1             SET    1858     0.020484    0.0038233     0.025812      0.21373
L4_RORB_dev-2             SET    1732     0.093643     0.016897     0.027125   0.00027823
L4_RORB_dev-fetal         SET    1798     0.057149       0.0105     0.026256     0.014759
L4_RORB_LRRK1             SET    1787     0.095815     0.017552      0.02655   0.00015401
L4_RORB_MET               SET    1827      0.08922     0.016519      0.02594   0.00029185
L4_RORB_MME               SET    1820      0.10488     0.019383     0.026148   3.0276e-05
L5-6_THEMIS_CNR1          SET    1735     0.079039     0.014274     0.026378    0.0013668
L5-6_THEMIS_dev-1         SET    1830     0.072939     0.013515     0.026023     0.002534
L5-6_THEMIS_dev-2         SET    1775      0.10127     0.018491     0.026737   7.6149e-05
L5-6_THEMIS_NTNG2         SET    1761     0.075552     0.013742     0.026385    0.0020964
L5-6_TLE4_dev             SET    1809     0.044192    0.0081432     0.026096     0.045188
L5-6_TLE4_HTR2C           SET    1783    0.0013461   0.00024631     0.026472      0.47972
L5-6_TLE4_SCUBE1          SET    1822     0.059978      0.01109     0.026784      0.01257
L5-6_TLE4_SORCS1          SET    1792     0.060119     0.011028     0.026544     0.011764
LAMP5_CCK                 SET    1799     0.036036    0.0066226     0.026716     0.088697
LAMP5_NDNF                SET    1795      0.03205    0.0058837     0.026861      0.11641
LAMP5_NOS1                SET    1767     0.089661     0.016336     0.027194   0.00048907
MGE_dev-1                 SET    1597     0.080016     0.013883       0.0285    0.0024974
MGE_dev-2                 SET    1685     0.093424     0.016635     0.026624   0.00022521
Micro                     SET    1578      -0.0281   -0.0048474     0.028436      0.83847
Micro_out                 SET    1559    -0.060057    -0.010299     0.028194      0.98342
Oligo_mat                 SET    1636      0.10014     0.017579     0.027919    0.0001676
Oligo-1                   SET    1576     0.081898     0.014119     0.028484    0.0020201
Oligo-2                   SET    1623     0.078092     0.013656      0.02807    0.0027024
Oligo-3                   SET    1513     0.073275     0.012385     0.029096    0.0058966
Oligo-4                   SET    1529     0.080007     0.013592     0.028775    0.0027159
Oligo-5                   SET    1600     0.079271     0.013766     0.028441    0.0026602
OPC                       SET    1691     0.017564    0.0031328     0.027546      0.26187
OPC_dev                   SET    1674     0.033336    0.0059172     0.026989      0.10839
OPC_MBP                   SET    1710     0.041578    0.0074564     0.027512     0.065365
PN_dev                    SET    1792     0.089861     0.016483     0.026716   0.00038518
PV_dev                    SET    1718     0.064739     0.011636      0.02737    0.0090089
PV_SCUBE3                 SET    1801     0.027989    0.0051465     0.026111      0.14188
PV_SCUBE3_dev             SET    1721     0.061239     0.011016     0.027371     0.012636
PV_SST                    SET    1771      0.04498    0.0082041     0.026906     0.047288
PV_SULF1                  SET    1773     0.034405    0.0062785     0.026208     0.094641
PV_SULF1_dev              SET    1802    0.0047823   0.00087959     0.026344      0.42798
PV_WFDC2                  SET    1822     0.053538    0.0098994     0.026062     0.019979
SST_ADGRG6                SET    1780     0.031928    0.0058376     0.026861       0.1173
SST_ADGRG6_dev            SET    1745     0.046928    0.0084984     0.026785     0.039888
SST_B3GAT2                SET    1760     0.041882     0.007616     0.026742     0.058662
SST_BRINP3                SET    1768     0.030245    0.0055119     0.026471      0.12662
SST_CALB1                 SET    1766     0.030226    0.0055054     0.026995      0.13143
SST_CALB1_dev             SET    1722       0.0691     0.012434     0.027445    0.0059078
SST_NPY                   SET    1577   -0.0041364  -0.00071331     0.027303      0.56021
SST_STK32A                SET    1747    0.0038128   0.00069087     0.027103      0.44406
SST_TH                    SET    1786     0.011685    0.0021399     0.026521      0.32975
Vas_CLDN5                 SET    1538     -0.06202    -0.010566      0.02854      0.98511
Vas_PDGFRB                SET    1547    -0.076531    -0.013075     0.027861      0.99699
Vas_TBX18                 SET    1644     -0.11529    -0.020286      0.02725      0.99999
VIP_ABI3BP                SET    1773    0.0092596    0.0016898     0.026588      0.36382
VIP_ADAMTSL1              SET    1788     0.028513    0.0052245     0.026314      0.13928
VIP_CHRM2                 SET    1807     0.020485    0.0037728     0.026189      0.21705
