# MEAN_SAMPLE_SIZE = 28384
# TOTAL_GENES = 32288
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                 TYPE  NGENES         BETA     BETA_STD           SE            P
Astro_dev-1               SET     857      0.12628     0.020299     0.038816   0.00057114
Astro_dev-2               SET     945     0.064066     0.010799      0.03597     0.037455
Astro_dev-3               SET     633     0.083901     0.011632     0.043421     0.026669
Astro_dev-4               SET     897     0.079329     0.013038     0.036254     0.014335
Astro_dev-5               SET     384     0.085185    0.0092346     0.055103     0.061068
Astro_GFAP                SET     835     0.040864     0.006486     0.039049      0.14768
Astro_SLC1A2              SET     922     0.056179     0.009357     0.036799     0.063429
Astro_SLC1A2_dev          SET     842     0.076601     0.012208     0.039282     0.025592
BKGR_NRGN                 SET     557     0.046708    0.0060817     0.045521      0.15243
CCK_RELN                  SET    1048     0.053063    0.0094036     0.034573     0.062421
CCK_SORCS1                SET    1136     0.040437    0.0074503     0.033082       0.1108
CCK_SYT6                  SET     916     0.073218     0.012156     0.036289     0.021821
CGE_dev                   SET    1203     0.078251      0.01482     0.031754     0.006868
ID2_CSMD1                 SET    1107    0.0039383   0.00071663     0.033662      0.45343
ID2_dev                   SET     985     0.077365     0.013305      0.03418     0.011808
L2_CUX2_LAMP5             SET    1038     0.073823     0.013022     0.034925     0.017274
L2_CUX2_LAMP5_dev         SET    1053      0.11855     0.021058     0.034814   0.00033092
L2-3_CUX2_dev-1           SET    1034     0.060217     0.010602     0.034959     0.042495
L2-3_CUX2_dev-2           SET    1082     0.055204     0.009935     0.033772     0.051071
L2-3_CUX2_dev-3           SET    1055     0.086286      0.01534     0.034641    0.0063746
L2-3_CUX2_dev-4           SET    1166      0.10426     0.019453     0.032243   0.00061189
L2-3_CUX2_dev-5           SET     917     0.017488     0.002905     0.036347      0.31521
L2-3_CUX2_dev-6           SET    1031     0.028827    0.0050684      0.03442      0.20115
L2-3_CUX2_dev-fetal       SET    1149     0.056384     0.010446     0.031838     0.038288
L3_CUX2_PRSS12            SET     997     0.015123    0.0026161     0.035488      0.33501
L4_RORB_dev-1             SET    1093     0.048862    0.0088367     0.032633     0.067165
L4_RORB_dev-2             SET     948      0.12528      0.02115     0.036075   0.00025794
L4_RORB_dev-fetal         SET    1294      0.13769     0.027007     0.030621   3.4679e-06
L4_RORB_LRRK1             SET     960      0.10024     0.017026     0.036639    0.0031123
L4_RORB_MET               SET    1084     0.091924     0.016558     0.034268    0.0036563
L4_RORB_MME               SET    1117     0.073544      0.01344     0.033508     0.014094
L5-6_THEMIS_CNR1          SET     859     0.087462     0.014075     0.038164     0.010965
L5-6_THEMIS_dev-1         SET    1323      0.11699     0.023191     0.030784   7.2474e-05
L5-6_THEMIS_dev-2         SET    1008     0.076937      0.01338     0.034769     0.013461
L5-6_THEMIS_NTNG2         SET     784     0.049151    0.0075656     0.039067      0.10418
L5-6_TLE4_dev             SET    1342     0.088937     0.017751     0.030101    0.0015669
L5-6_TLE4_HTR2C           SET    1001     -0.04043   -0.0070075     0.034472      0.87956
L5-6_TLE4_SCUBE1          SET    1059     0.040456    0.0072056     0.034139      0.11801
L5-6_TLE4_SORCS1          SET    1059      0.06629     0.011807     0.034131     0.026062
LAMP5_CCK                 SET    1024      0.02234    0.0039149     0.034625       0.2594
LAMP5_NDNF                SET    1102     0.043182    0.0078403     0.032822     0.094157
LAMP5_NOS1                SET    1024     0.034835    0.0061046     0.034733      0.15795
MGE_dev-1                 SET    1100     0.082223     0.014916     0.033238    0.0066879
MGE_dev-2                 SET    1164     0.090051     0.016787     0.032077    0.0024994
Micro                     SET     637    0.0060818   0.00084578     0.043362      0.44423
Micro_out                 SET     473    -0.065058   -0.0078165     0.049792      0.90432
Oligo_mat                 SET     727     0.079889     0.011852     0.041564     0.027305
Oligo-1                   SET     713     0.070519     0.010363     0.041463     0.044501
Oligo-2                   SET     744     0.062295    0.0093468     0.040854     0.063656
Oligo-3                   SET     579      0.10031     0.013311     0.044876     0.012708
Oligo-4                   SET     622      0.03697    0.0050817     0.044471       0.2029
Oligo-5                   SET     690     0.023054     0.003334     0.041158       0.2877
OPC                       SET     926     0.095418     0.015926     0.037477    0.0054507
OPC_dev                   SET    1011     0.067964     0.011837     0.036036     0.029654
OPC_MBP                   SET     843     0.069625     0.011103      0.03914     0.037636
