# TOTAL_GENES = 18999
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE          TYPE  NGENES         BETA     BETA_STD           SE            P
Astro              SET    1520    -0.039526    -0.010724     0.032847      0.88557
CGE_dev            SET     818     0.010096    0.0020494     0.042527      0.40617
ID2                SET    1234    -0.030746   -0.0075771     0.035821      0.80464
L2-3_CUX2          SET    1335     0.023037    0.0058883     0.034091       0.2496
L4_RORB            SET    1214      0.06998     0.017115     0.035453     0.024208
L5-6_THEMIS        SET    1251     0.055278      0.01371     0.035175     0.058043
L5-6_TLE4          SET    1224     0.037354    0.0091709     0.035535       0.1466
LAMP5_NOS1         SET    1084     0.032106    0.0074471     0.038353      0.20128
MGE_dev            SET     941     0.079879     0.017332     0.038906      0.02004
Micro              SET    1649    -0.076073    -0.021418     0.030877      0.99312
Oligo              SET    1667     0.074988     0.021216     0.030815    0.0074836
OPC                SET    1446    -0.032077   -0.0085061     0.033601      0.83011
PN_dev             SET     871    -0.043046   -0.0090033      0.04068        0.855
Poor-Quality       SET    1507    0.0021731   0.00058728     0.031654      0.47263
PV                 SET    1265    0.0079792    0.0019893     0.035633      0.41141
PV_SCUBE3          SET    1077     0.011062    0.0025581     0.037444      0.38383
SST                SET    1367     0.029271    0.0075641     0.034268      0.19651
Vas                SET    1472     -0.18949    -0.050661     0.032379            1
VIP                SET    1214     0.034218    0.0083689     0.036256      0.17265
