# TOTAL_GENES = 18888
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                 TYPE  NGENES         BETA     BETA_STD           SE            P
Astro_dev-1               SET    1431    -0.016473   -0.0043593     0.033258      0.68981
Astro_dev-2               SET    1236    -0.057109    -0.014123     0.035713      0.94509
Astro_dev-3               SET    1179    -0.033627   -0.0081353     0.035163      0.83054
Astro_dev-4               SET    1062      -0.1042    -0.024005     0.037472      0.99729
Astro_dev-5               SET     821    -0.035395   -0.0072174     0.042214      0.79911
Astro_GFAP                SET    1389    -0.034555   -0.0090198     0.033409       0.8495
Astro_SLC1A2              SET    1397    -0.028504   -0.0074599     0.033437      0.80301
Astro_SLC1A2_dev          SET    1389    -0.029288    -0.007645     0.033897      0.80621
BKGR_NRGN                 SET    1476   -0.0078371   -0.0021035     0.031776       0.5974
CCK_RELN                  SET     943    -0.014943   -0.0032546     0.039661      0.64683
CCK_SORCS1                SET     957    -0.015675   -0.0034379     0.039304      0.65498
CCK_SYT6                  SET     910    -0.067924    -0.014546     0.040736      0.95227
CGE_dev                   SET     765    0.0032369   0.00063811     0.042954      0.46997
ID2_CSMD1                 SET     936    -0.071491    -0.015516     0.039797      0.96377
ID2_dev                   SET     875    -0.012366   -0.0025993     0.041781      0.61637
L2_CUX2_LAMP5             SET    1286     0.013331    0.0033581     0.034099      0.34792
L2_CUX2_LAMP5_dev         SET    1137     0.073033     0.017371     0.036362     0.022304
L2-3_CUX2_dev-1           SET    1267     0.052273     0.013077     0.034738     0.066199
L2-3_CUX2_dev-2           SET    1226   0.00046792   0.00011528     0.034924      0.49466
L2-3_CUX2_dev-3           SET    1254    -0.022301   -0.0055523     0.034814      0.73909
L2-3_CUX2_dev-4           SET     955    -0.048989    -0.010734     0.038155      0.90041
L2-3_CUX2_dev-5           SET    1247     0.024263    0.0060252     0.034546      0.24123
L2-3_CUX2_dev-6           SET    1070    -0.012652   -0.0029249     0.037413      0.63238
L2-3_CUX2_dev-fetal       SET     960    -0.025433   -0.0055864     0.038784      0.74401
L3_CUX2_PRSS12            SET    1223     0.019156     0.004714     0.035644      0.29549
L4_RORB_dev-1             SET     880    -0.070544    -0.014868     0.040714      0.95841
L4_RORB_dev-2             SET    1326     0.084167     0.021504     0.034263    0.0070202
L4_RORB_dev-fetal         SET     992     0.020429    0.0045572     0.039538      0.30269
L4_RORB_LRRK1             SET    1334      0.13489      0.03456     0.033728   3.1907e-05
L4_RORB_MET               SET    1189     0.083226     0.020214     0.035854     0.010144
L4_RORB_MME               SET    1044     0.024726    0.0056503     0.038526      0.26051
L5-6_THEMIS_CNR1          SET    1257     0.063266     0.015769     0.034669     0.034021
L5-6_THEMIS_dev-1         SET     983    -0.014833   -0.0032946     0.038927      0.64841
L5-6_THEMIS_dev-2         SET    1259     0.034781    0.0086754     0.034007      0.15322
L5-6_THEMIS_NTNG2         SET    1114     0.027501    0.0064791     0.036452      0.22529
L5-6_TLE4_dev             SET     945     0.010753    0.0023444     0.039605        0.393
L5-6_TLE4_HTR2C           SET    1133    -0.019865   -0.0047173     0.036427      0.70723
L5-6_TLE4_SCUBE1          SET    1229     0.044604     0.011002     0.035767      0.10619
L5-6_TLE4_SORCS1          SET    1191     0.072396     0.017597     0.035503     0.020726
LAMP5_CCK                 SET    1132     0.021567    0.0051194     0.037554      0.28289
LAMP5_NDNF                SET    1020   -0.0040712   -0.0009202     0.038535      0.54207
LAMP5_NOS1                SET    1064     0.014844    0.0034227      0.03872      0.35072
MGE_dev-1                 SET     842     0.057851     0.011939       0.0403     0.075583
MGE_dev-2                 SET     744     0.010225    0.0019891     0.043203      0.40645
Micro                     SET    1532    -0.057594    -0.015724     0.031779      0.96502
Micro_out                 SET    1268     -0.12379    -0.030979     0.034632      0.99982
Oligo_mat                 SET    1504     0.082321     0.022286     0.032124    0.0052002
Oligo-1                   SET    1486     0.055356     0.014904     0.032583     0.044679
Oligo-2                   SET    1483     0.064875     0.017451     0.032063     0.021527
Oligo-3                   SET    1559      0.08762     0.024112     0.031391    0.0026288
Oligo-4                   SET    1344     0.051892     0.013341     0.033722     0.061935
Oligo-5                   SET    1178     0.060924     0.014733     0.036045     0.045505
OPC                       SET    1403    -0.040062    -0.010506     0.033462      0.88438
OPC_dev                   SET    1061    -0.045133    -0.010392     0.037588      0.88506
OPC_MBP                   SET    1182   -0.0052631   -0.0012748     0.036719      0.55699
PN_dev                    SET     866    -0.015119   -0.0031623     0.041152      0.64333
PV_dev                    SET    1068     0.049275     0.011381     0.038017      0.09748
PV_SCUBE3                 SET    1010    0.0038524   0.00086672     0.038151      0.45978
PV_SCUBE3_dev             SET     868    -0.016967   -0.0035529      0.04045      0.66256
PV_SST                    SET     884    -0.047265   -0.0099833       0.0403      0.87956
PV_SULF1                  SET    1045    -0.021223   -0.0048522     0.038718       0.7082
PV_SULF1_dev              SET     932    -0.020129   -0.0043598     0.039582      0.69446
PV_WFDC2                  SET    1147     0.012806    0.0030586     0.036445      0.36265
SST_ADGRG6                SET    1165     0.028969    0.0069692     0.035881      0.20974
SST_ADGRG6_dev            SET     992   -0.0019916  -0.00044429     0.038802      0.52047
SST_B3GAT2                SET    1093     0.018306    0.0042744     0.036868      0.30976
SST_BRINP3                SET     950    -0.026092   -0.0057028     0.039899      0.74342
SST_CALB1                 SET    1068     0.020424    0.0047174     0.037372      0.29237
SST_CALB1_dev             SET    1153      0.05892     0.014106     0.036009     0.050905
SST_NPY                   SET     763     -0.10327    -0.020333     0.043017      0.99181
SST_STK32A                SET    1092    -0.023365   -0.0054534     0.037925      0.73108
SST_TH                    SET     965    -0.013029   -0.0028689     0.038535      0.63236
Vas_CLDN5                 SET    1140      -0.1291    -0.030746     0.036491       0.9998
Vas_PDGFRB                SET    1074     -0.13558    -0.031399     0.036858      0.99988
Vas_TBX18                 SET    1223     -0.21025     -0.05174     0.035188            1
VIP_ABI3BP                SET    1016     0.011743    0.0026493     0.038743      0.38091
VIP_ADAMTSL1              SET     936    -0.012999   -0.0028212     0.039246      0.62976
VIP_CHRM2                 SET     989   0.00052673   0.00011734     0.039492      0.49468
VIP_CRH                   SET     980     -0.02431   -0.0053921     0.039392      0.73142
VIP_dev                   SET     657     0.013809    0.0025304     0.046604       0.3835
VIP_DPP6                  SET     871   -0.0063153   -0.0013246     0.041536      0.56042
VIP_HS3ST3A1              SET    1068      -0.0189   -0.0043655     0.038418      0.68862
VIP_KIRREL3               SET     948     0.054166     0.011827     0.040461     0.090338
VIP_PCDH20                SET     783    -0.020843    -0.004155     0.043097      0.68568
