# TOTAL_GENES = 51403
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE          TYPE  NGENES         BETA     BETA_STD           SE            P
Astro              SET    1930    0.0038221   0.00072657     0.026221      0.44206
CGE_dev            SET    1912     0.045495    0.0086097     0.025427     0.036795
ID2                SET    1893     0.015277    0.0028772     0.025882      0.27752
L2-3_CUX2          SET    1954     0.023835    0.0045579     0.025294      0.17302
L4_RORB            SET    1941     0.059714     0.011383     0.025663    0.0099901
L5-6_THEMIS        SET    1934     0.076908     0.014635     0.025686    0.0013769
L5-6_TLE4          SET    1941     0.033464    0.0063789     0.025592     0.095507
LAMP5_NOS1         SET    1913     0.033204    0.0062852     0.025449     0.095996
MGE_dev            SET    1919     0.063103     0.011963     0.025295     0.006306
Micro              SET    1932    -0.048929    -0.009306      0.02579       0.9711
Oligo              SET    1943     0.069052     0.013169     0.026088    0.0040631
OPC                SET    1923     0.034596    0.0065652     0.026531     0.096125
PN_dev             SET    1921      0.06686     0.012681     0.025419    0.0042672
Poor-Quality       SET    1908     0.016254    0.0030729     0.025389      0.26103
PV                 SET    1921    0.0059929    0.0011367     0.025596      0.40744
PV_SCUBE3          SET    1916     0.014683    0.0027814     0.025596      0.28311
SST                SET    1907    0.0040237   0.00076051     0.025768      0.43796
Vas                SET    1937     -0.11673    -0.022228     0.024883            1
VIP                SET    1895   -0.0051067  -0.00096227     0.025917       0.5781
