# TOTAL_GENES = 51176
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                 TYPE  NGENES         BETA     BETA_STD           SE            P
Astro_dev-1               SET    1927     0.027426    0.0052207     0.026212      0.14772
Astro_dev-2               SET    1929    0.0057056    0.0010867     0.026054      0.41333
Astro_dev-3               SET    1923     0.026186    0.0049799     0.025115      0.14856
Astro_dev-4               SET    1916    -0.014561   -0.0027642     0.025758      0.71406
Astro_dev-5               SET    1943     0.045702    0.0087345     0.025506     0.036584
Astro_GFAP                SET    1927     -0.01025   -0.0019512     0.025578      0.65569
Astro_SLC1A2              SET    1935    -0.003779  -0.00072081     0.025845      0.55812
Astro_SLC1A2_dev          SET    1929     0.022474    0.0042803     0.026488       0.1981
BKGR_NRGN                 SET    1907    0.0094189     0.001784     0.025346      0.35509
CCK_RELN                  SET    1901    0.0069964    0.0013232     0.025718       0.3928
CCK_SORCS1                SET    1919     0.013653    0.0025939     0.025403      0.29547
CCK_SYT6                  SET    1921    -0.012528   -0.0023813     0.025181      0.69059
CGE_dev                   SET    1917      0.04337    0.0082352     0.025191     0.042573
ID2_CSMD1                 SET    1909    -0.022408   -0.0042464     0.025255      0.81253
ID2_dev                   SET    1902     0.032922    0.0062278     0.025636     0.099541
L2_CUX2_LAMP5             SET    1950     0.015143    0.0028991     0.025213      0.27406
L2_CUX2_LAMP5_dev         SET    1947     0.074545     0.014261     0.025601    0.0017978
L2-3_CUX2_dev-1           SET    1945     0.052514     0.010041     0.025603     0.020131
L2-3_CUX2_dev-2           SET    1922     0.025995    0.0049422     0.025556      0.15454
L2-3_CUX2_dev-3           SET    1929      0.02179      0.00415     0.025558      0.19695
L2-3_CUX2_dev-4           SET    1920     0.018505    0.0035165     0.025022      0.22978
L2-3_CUX2_dev-5           SET    1954      0.01503    0.0028803     0.024986      0.27374
L2-3_CUX2_dev-6           SET    1928      0.03269    0.0062245     0.025351     0.098621
L2-3_CUX2_dev-fetal       SET    1920     0.014354    0.0027277     0.024882      0.28201
L3_CUX2_PRSS12            SET    1950   -0.0018686  -0.00035774     0.025624      0.52907
L4_RORB_dev-1             SET    1925    -0.015493   -0.0029478     0.024813      0.73381
L4_RORB_dev-2             SET    1924      0.11978     0.022784     0.025585   1.4294e-06
L4_RORB_dev-fetal         SET    1922     0.079572     0.015128     0.025572   0.00093092
L4_RORB_LRRK1             SET    1941      0.10316     0.019706     0.025503   2.6219e-05
L4_RORB_MET               SET    1948     0.068942     0.013192     0.025693    0.0036465
L4_RORB_MME               SET    1947     0.047541     0.009095     0.025313     0.030185
L5-6_THEMIS_CNR1          SET    1942     0.051948    0.0099257     0.025096     0.019233
L5-6_THEMIS_dev-1         SET    1918     0.055412     0.010525     0.025678     0.015467
L5-6_THEMIS_dev-2         SET    1932     0.063893     0.012178     0.025354    0.0058697
L5-6_THEMIS_NTNG2         SET    1944     0.044373    0.0084826     0.025083     0.038448
L5-6_TLE4_dev             SET    1938     0.044338    0.0084633     0.025066     0.038462
L5-6_TLE4_HTR2C           SET    1940    -0.046226   -0.0088282      0.02516      0.96691
L5-6_TLE4_SCUBE1          SET    1942     0.045558    0.0087048     0.025689     0.038083
L5-6_TLE4_SORCS1          SET    1923      0.07264     0.013814     0.025542    0.0022293
LAMP5_CCK                 SET    1910       0.0271     0.005137     0.025934      0.14802
LAMP5_NDNF                SET    1905     0.001982   0.00037521     0.025522      0.46905
LAMP5_NOS1                SET    1914      0.03125    0.0059294     0.025509      0.11028
MGE_dev-1                 SET    1908     0.063703     0.012069     0.025326    0.0059489
MGE_dev-2                 SET    1911     0.057421     0.010887     0.025103     0.011088
Micro                     SET    1930    -0.045886   -0.0087415      0.02576      0.96256
Micro_out                 SET    1929    -0.065282    -0.012433     0.025474       0.9948
Oligo_mat                 SET    1947     0.078587     0.015034      0.02626    0.0013837
Oligo-1                   SET    1935     0.088592     0.016898     0.025974   0.00032431
Oligo-2                   SET    1942     0.066506     0.012707     0.026018    0.0052943
Oligo-3                   SET    1950     0.098932      0.01894     0.025792   6.2699e-05
Oligo-4                   SET    1944     0.068752     0.013143     0.025861    0.0039257
Oligo-5                   SET    1948     0.051202    0.0097977     0.025696     0.023156
OPC                       SET    1917     0.028406     0.005394     0.026346      0.14047
OPC_dev                   SET    1919    0.0040298   0.00076559     0.025824        0.438
OPC_MBP                   SET    1922     0.023564    0.0044801     0.026073      0.18306
PN_dev                    SET    1920     0.055167     0.010483     0.025247     0.014445
PV_dev                    SET    1912     0.053666     0.010178      0.02566     0.018247
PV_SCUBE3                 SET    1927     0.025309    0.0048178     0.025329      0.15885
PV_SCUBE3_dev             SET    1905     0.033268    0.0062982     0.025603     0.096911
PV_SST                    SET    1915    -0.013816   -0.0026221      0.02517      0.70846
PV_SULF1                  SET    1922  -3.8789e-05  -7.3746e-06     0.025507      0.50061
PV_SULF1_dev              SET    1923    -0.017659   -0.0033583     0.025374      0.75677
PV_WFDC2                  SET    1929    0.0011934    0.0002273     0.025219      0.48113
SST_ADGRG6                SET    1919    0.0072499    0.0013773       0.0259      0.38977
SST_ADGRG6_dev            SET    1913    0.0064732    0.0012279     0.025663      0.40043
SST_B3GAT2                SET    1917     0.021145    0.0040152     0.025165      0.20038
SST_BRINP3                SET    1920    0.0033096   0.00062892      0.02521      0.44778
SST_CALB1                 SET    1923   -0.0095103   -0.0018086     0.025683      0.64442
SST_CALB1_dev             SET    1903     0.037945    0.0071798     0.025691     0.069847
SST_NPY                   SET    1916     -0.01442   -0.0027375     0.024881       0.7189
SST_STK32A                SET    1916     -0.03452   -0.0065531     0.026131      0.90675
SST_TH                    SET    1919   -0.0048307  -0.00091775      0.02507       0.5764
Vas_CLDN5                 SET    1941    -0.049107   -0.0093805     0.025423      0.97329
Vas_PDGFRB                SET    1944    -0.068914    -0.013174     0.024698      0.99737
Vas_TBX18                 SET    1936     -0.12798    -0.024416     0.025192            1
VIP_ABI3BP                SET    1906    -0.011813    -0.002237     0.025502       0.6784
VIP_ADAMTSL1              SET    1909    0.0057244    0.0010848     0.025025      0.40953
VIP_CHRM2                 SET    1911    0.0022661   0.00042965     0.025682      0.46484
VIP_CRH                   SET    1917   -0.0091611   -0.0017396     0.025489      0.64035
VIP_dev                   SET    1905     0.034485    0.0065285     0.025372     0.087047
VIP_DPP6                  SET    1923     0.001927   0.00036646     0.024828      0.46907
VIP_HS3ST3A1              SET    1900    -0.013128   -0.0024822     0.025727      0.69508
VIP_KIRREL3               SET    1914     0.011807    0.0022403     0.025554      0.32203
VIP_PCDH20                SET    1911     0.025969    0.0049236     0.025612      0.15531
