# TOTAL_GENES = 51403
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                 TYPE  NGENES         BETA     BETA_STD           SE            P
Astro_dev-1               SET     967    -0.028847   -0.0039192     0.036541      0.78507
Astro_dev-2               SET     976    -0.049846    -0.006803     0.035416      0.92035
Astro_dev-3               SET     973   -0.0072117  -0.00098278     0.035424      0.58066
Astro_dev-4               SET     962     0.010018    0.0013577     0.036011      0.39043
Astro_dev-5               SET     980    0.0058832   0.00080455     0.035124      0.43349
Astro_GFAP                SET     968    -0.045447   -0.0061776     0.036107      0.89592
Astro_SLC1A2              SET     971    -0.025803   -0.0035128     0.035909       0.7638
Astro_SLC1A2_dev          SET     972    -0.032412   -0.0044148     0.036625      0.81191
BKGR_NRGN                 SET     958    -0.010885   -0.0014721     0.035589      0.62014
CCK_RELN                  SET     950     0.018892    0.0025445     0.036212      0.30094
CCK_SORCS1                SET     948     0.039651    0.0053348     0.036106      0.13607
CCK_SYT6                  SET     964   -0.0035283  -0.00047864     0.036075      0.53896
CGE_dev                   SET     953    0.0039754   0.00053626      0.03566      0.45562
ID2_CSMD1                 SET     955    -0.035963   -0.0048562     0.034907      0.84855
ID2_dev                   SET     951     0.003974   0.00053551     0.035428      0.45535
L2_CUX2_LAMP5             SET     981    -0.015406    -0.002108     0.035206      0.66916
L2_CUX2_LAMP5_dev         SET     979     0.060195    0.0082278     0.035236     0.043791
L2-3_CUX2_dev-1           SET     972     0.045681     0.006222     0.035502     0.099103
L2-3_CUX2_dev-2           SET     965     0.029511    0.0040053     0.034714      0.19763
L2-3_CUX2_dev-3           SET     974      0.04866    0.0066346     0.035055     0.082556
L2-3_CUX2_dev-4           SET     961    0.0096167    0.0013026     0.035957      0.39456
L2-3_CUX2_dev-5           SET     979      0.01182    0.0016156     0.035166      0.36839
L2-3_CUX2_dev-6           SET     971    0.0049404   0.00067257     0.035314      0.44437
L2-3_CUX2_dev-fetal       SET     964    0.0013357   0.00018119     0.035415      0.48496
L3_CUX2_PRSS12            SET     980    -0.019504   -0.0026673     0.035569      0.70827
L4_RORB_dev-1             SET     962    -0.029988   -0.0040639     0.034939      0.80464
L4_RORB_dev-2             SET     963     0.077062     0.010449     0.035618     0.015253
L4_RORB_dev-fetal         SET     969     0.044542    0.0060577     0.035532        0.105
L4_RORB_LRRK1             SET     976      0.10205     0.013928     0.035626    0.0020889
L4_RORB_MET               SET     980     0.016014      0.00219     0.035526      0.32608
L4_RORB_MME               SET     977     0.012163    0.0016609     0.035555      0.36614
L5-6_THEMIS_CNR1          SET     973      0.04801    0.0065426     0.034992     0.085031
L5-6_THEMIS_dev-1         SET     969     0.048419    0.0065849     0.035503      0.08632
L5-6_THEMIS_dev-2         SET     971     0.066953    0.0091148     0.035196     0.028572
