# TOTAL_GENES = 51172
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                 TYPE  NGENES         BETA     BETA_STD           SE            P
Astro_dev-1               SET    2313     0.046455    0.0096509      0.02335     0.023324
Astro_dev-2               SET    2225     0.028487    0.0058095     0.023588      0.11359
Astro_dev-3               SET    1862     0.022478    0.0042091     0.024761      0.18199
Astro_dev-4               SET    1981   -0.0027281  -0.00052627       0.0247      0.54397
Astro_dev-5               SET    1218      0.01312    0.0019999     0.030478      0.33343
Astro_GFAP                SET    2254   -0.0018143  -0.00037229     0.023473       0.5308
Astro_SLC1A2              SET    2337     0.024225    0.0050575     0.023316       0.1494
Astro_SLC1A2_dev          SET    2249     0.036498    0.0074815     0.024036     0.064453
BKGR_NRGN                 SET    2088   -0.0082366   -0.0016295      0.02435      0.63242
CCK_RELN                  SET    2008    0.0096433    0.0018724     0.024567      0.34733
CCK_SORCS1                SET    2108     0.013845    0.0027515     0.023704      0.27959
CCK_SYT6                  SET    1819   -0.0045184  -0.00083663     0.025667      0.56987
CGE_dev                   SET    2016     0.029576    0.0057536     0.024416      0.11289
ID2_CSMD1                 SET    2064    -0.023614   -0.0046459     0.024172      0.83569
ID2_dev                   SET    1892     0.042133    0.0079504     0.025132     0.046828
L2_CUX2_LAMP5             SET    2315     0.027131    0.0056386     0.023056      0.11965
L2_CUX2_LAMP5_dev         SET    2194     0.045795     0.009277     0.023809     0.027218
L2-3_CUX2_dev-1           SET    2306     0.023042      0.00478     0.023361      0.16198
L2-3_CUX2_dev-2           SET    2316     0.028618     0.005949     0.022837      0.10508
L2-3_CUX2_dev-3           SET    2298    0.0040643   0.00084173     0.023165      0.43036
L2-3_CUX2_dev-4           SET    2168     0.020599    0.0041491     0.023185      0.18715
L2-3_CUX2_dev-5           SET    2184    0.0096412    0.0019488     0.023097      0.33819
L2-3_CUX2_dev-6           SET    2117     0.015158    0.0030186     0.023611      0.26045
L2-3_CUX2_dev-fetal       SET    2149     0.020786    0.0041694     0.023385      0.18703
L3_CUX2_PRSS12            SET    2201     0.014069    0.0028543     0.023729      0.27663
L4_RORB_dev-1             SET    1975    -0.033944   -0.0065386     0.024011      0.92127
L4_RORB_dev-2             SET    2296     0.077285     0.015999     0.023035   0.00039705
L4_RORB_dev-fetal         SET    2313     0.057753     0.011998      0.02279    0.0056385
L4_RORB_LRRK1             SET    2286     0.081623     0.016862     0.023229   0.00022111
L4_RORB_MET               SET    2267     0.074541     0.015338     0.023594   0.00079159
L4_RORB_MME               SET    2163     0.025965    0.0052243      0.02365      0.13613
L5-6_THEMIS_CNR1          SET    2111      0.05589     0.011115     0.023864    0.0095936
L5-6_THEMIS_dev-1         SET    2323     0.050254     0.010461     0.022643     0.013234
L5-6_THEMIS_dev-2         SET    2270     0.059287     0.012207     0.023116    0.0051637
L5-6_THEMIS_NTNG2         SET    1905     0.014763    0.0027949     0.024912      0.27672
L5-6_TLE4_dev             SET    2316     0.047191    0.0098099     0.022351     0.017374
L5-6_TLE4_HTR2C           SET    2147    -0.041822    -0.008385     0.023629      0.96163
L5-6_TLE4_SCUBE1          SET    2292     0.026501    0.0054816     0.023066       0.1253
L5-6_TLE4_SORCS1          SET    2254      0.05894     0.012095     0.023319    0.0057448
LAMP5_CCK                 SET    2160     0.038867     0.007815     0.023728     0.050717
LAMP5_NDNF                SET    2129   -0.0052758   -0.0010535       0.0237      0.58808
LAMP5_NOS1                SET    2093     0.029138    0.0057712     0.023926      0.11164
MGE_dev-1                 SET    1995     0.065247     0.012629     0.024251    0.0035692
MGE_dev-2                 SET    1949     0.041305    0.0079061     0.024167     0.043719
Micro                     SET    2226    -0.028235   -0.0057594     0.023608      0.88415
Micro_out                 SET    1795    -0.075527    -0.013895       0.0256      0.99841
Oligo_mat                 SET    2261     0.068858     0.014151     0.023779    0.0018926
Oligo-1                   SET    2223     0.086028     0.017537     0.023689   0.00014105
Oligo-2                   SET    2242     0.055214     0.011301     0.023398    0.0091448
Oligo-3                   SET    2156     0.092995     0.018682     0.023794   4.6553e-05
Oligo-4                   SET    1994     0.072909     0.014109     0.024821    0.0016563
Oligo-5                   SET    1891     0.051605    0.0097354     0.025432     0.021224
OPC                       SET    2351     0.023319    0.0048822      0.02334      0.15887
OPC_dev                   SET    2103     0.020111    0.0039923     0.023914      0.20018
OPC_MBP                   SET    2046     0.010757    0.0021074     0.024494      0.33028
PN_dev                    SET    2317     0.032881    0.0068365     0.022483     0.071813
PV_dev                    SET    2081     0.058273      0.01151     0.023825    0.0072283
PV_SCUBE3                 SET    2045      0.02889    0.0056589     0.024171        0.116
PV_SCUBE3_dev             SET    1808      0.04122      0.00761     0.025463     0.052748
PV_SST                    SET    1935    -0.012948   -0.0024699     0.024294      0.70298
PV_SULF1                  SET    2061     0.015882    0.0031225     0.023942      0.25355
PV_SULF1_dev              SET    1894    -0.016013   -0.0030232      0.02478      0.74093
PV_WFDC2                  SET    2219    0.0073579    0.0014986     0.023215      0.37564
SST_ADGRG6                SET    2135     0.019739     0.003947     0.023862      0.20406
SST_ADGRG6_dev            SET    2068     0.019823    0.0039037     0.023845       0.2029
SST_B3GAT2                SET    2114    -0.011818   -0.0023519     0.023671       0.6912
SST_BRINP3                SET    1924    -0.026903   -0.0051177     0.024992      0.85914
SST_CALB1                 SET    2061    0.0077764    0.0015289     0.024009      0.37301
SST_CALB1_dev             SET    2181     0.034103    0.0068888     0.023401     0.072516
SST_NPY                   SET    1624    -0.018147   -0.0031811     0.026077      0.75674
SST_STK32A                SET    2079    -0.045166    -0.008917     0.024356      0.96815
SST_TH                    SET    1851   -0.0091414   -0.0017069     0.025201       0.6416
Vas_CLDN5                 SET    1555    -0.070884    -0.012167      0.02763      0.99485
Vas_PDGFRB                SET    1565    -0.064674    -0.011136     0.027018      0.99166
Vas_TBX18                 SET    1917     -0.12745    -0.024202      0.02495            1
VIP_ABI3BP                SET    2096   -0.0036704  -0.00072746     0.023718      0.56149
VIP_ADAMTSL1              SET    2062   -0.0034987  -0.00068804     0.024009      0.55793
VIP_CHRM2                 SET    2190     0.008132    0.0016459     0.023598       0.3652
VIP_CRH                   SET    2133    -0.020028   -0.0040029      0.02391      0.79888
VIP_dev                   SET    1670     0.016131    0.0028661      0.02635      0.27022
VIP_DPP6                  SET    2025     0.013718    0.0026743     0.023855      0.28263
