# TOTAL_GENES = 32275
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                 TYPE  NGENES         BETA     BETA_STD           SE            P
Astro_dev-1               SET     857      0.11655     0.018739     0.037272   0.00088383
Astro_dev-2               SET     945     0.074589     0.012575     0.034886     0.016259
Astro_dev-3               SET     633     0.091419     0.012677     0.042622     0.015986
Astro_dev-4               SET     897     0.077763     0.012783     0.035909     0.015178
Astro_dev-5               SET     385     0.038192    0.0041464     0.051763      0.23031
Astro_GFAP                SET     835     0.027056    0.0042953     0.038032      0.23842
Astro_SLC1A2              SET     922     0.057837     0.009635     0.036129      0.05471
Astro_SLC1A2_dev          SET     842     0.072609     0.011574     0.038581     0.029925
BKGR_NRGN                 SET     557     0.021282    0.0027716     0.044067      0.31457
CCK_RELN                  SET    1048     0.055843    0.0098981     0.033889     0.049701
CCK_SORCS1                SET    1137     0.034365    0.0063355     0.032258      0.14338
CCK_SYT6                  SET     916      0.06155     0.010221     0.035332     0.040758
CGE_dev                   SET    1203     0.062126     0.011769     0.031726     0.025107
ID2_CSMD1                 SET    1107   -0.0059036   -0.0010745     0.033037      0.57091
ID2_dev                   SET     986      0.07236     0.012453     0.033828     0.016222
L2_CUX2_LAMP5             SET    1039     0.080657     0.014237      0.03397    0.0087942
L2_CUX2_LAMP5_dev         SET    1054     0.088675     0.015761     0.033959     0.004514
L2-3_CUX2_dev-1           SET    1034     0.040934    0.0072085     0.034746      0.11939
L2-3_CUX2_dev-2           SET    1082       0.0602     0.010836     0.033226     0.035013
L2-3_CUX2_dev-3           SET    1055      0.11096     0.019731      0.03352   0.00046672
L2-3_CUX2_dev-4           SET    1166      0.11071     0.020659     0.031465    0.0002175
L2-3_CUX2_dev-5           SET     918     0.030539    0.0050767     0.035088      0.19206
L2-3_CUX2_dev-6           SET    1031     0.019793    0.0034808     0.033555      0.27764
L2-3_CUX2_dev-fetal       SET    1149     0.061592     0.011413     0.031124     0.023919
L3_CUX2_PRSS12            SET     997     0.034497    0.0059689     0.034679      0.15993
L4_RORB_dev-1             SET    1094     0.057416      0.01039      0.03213     0.036978
L4_RORB_dev-2             SET     947      0.10302     0.017386     0.035624     0.001917
L4_RORB_dev-fetal         SET    1294        0.144     0.028251     0.030073   8.4505e-07
L4_RORB_LRRK1             SET     961     0.087916     0.014943     0.035549    0.0067004
L4_RORB_MET               SET    1085     0.091823     0.016551     0.033555    0.0031068
L4_RORB_MME               SET    1117     0.058382     0.010672     0.032693     0.037076
L5-6_THEMIS_CNR1          SET     859     0.077175     0.012422     0.037012     0.018534
L5-6_THEMIS_dev-1         SET    1323      0.10632      0.02108      0.03028   0.00022349
L5-6_THEMIS_dev-2         SET    1008      0.09119     0.015862     0.034149     0.003791
L5-6_THEMIS_NTNG2         SET     784     0.045397    0.0069891     0.038479      0.11905
L5-6_TLE4_dev             SET    1342      0.11701     0.023359     0.029521   3.7022e-05
L5-6_TLE4_HTR2C           SET    1001    -0.028686   -0.0049729     0.033519      0.80394
L5-6_TLE4_SCUBE1          SET    1059     0.059097     0.010528     0.033309     0.038022
L5-6_TLE4_SORCS1          SET    1060     0.067514     0.012033     0.033558     0.022125
LAMP5_CCK                 SET    1024     0.037172    0.0065153     0.033375       0.1327
