# TOTAL_GENES = 51163
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                 TYPE  NGENES         BETA     BETA_STD           SE            P
Astro_dev-1               SET    1997     0.033688    0.0065245     0.025046     0.089307
Astro_dev-2               SET    1992     0.022344    0.0043221     0.024803      0.18384
Astro_dev-3               SET    1995     0.033196    0.0064262     0.024013     0.083419
Astro_dev-4               SET    1993   -0.0008249  -0.00015961     0.024624      0.51336
Astro_dev-5               SET    1988     0.024448    0.0047248     0.024366      0.15784
Astro_GFAP                SET    1993    0.0028594   0.00055327     0.024753      0.45402
Astro_SLC1A2              SET    1992    0.0070612    0.0013659     0.024892      0.38833
Astro_SLC1A2_dev          SET    1990     0.021767    0.0042086     0.025423      0.19595
BKGR_NRGN                 SET    1989    -0.011663   -0.0022545     0.024857      0.68054
CCK_RELN                  SET    1980    0.0042211   0.00081417     0.024718       0.4322
CCK_SORCS1                SET    1978     0.016664    0.0032127     0.024328      0.24668
CCK_SYT6                  SET    1981   0.00055756   0.00010757     0.024411      0.49089
CGE_dev                   SET    1990     0.028844    0.0055769     0.024524      0.11977
ID2_CSMD1                 SET    1975    -0.019245   -0.0037075      0.02474      0.78168
ID2_dev                   SET    1988     0.051806     0.010012     0.024482     0.017173
L2_CUX2_LAMP5             SET    1988     0.021993    0.0042502     0.024644      0.18608
L2_CUX2_LAMP5_dev         SET    1989     0.056508     0.010923     0.024953     0.011771
L2-3_CUX2_dev-1           SET    1989     0.012461    0.0024087     0.025161      0.31022
L2-3_CUX2_dev-2           SET    1982     0.030167    0.0058214     0.024542      0.10951
L2-3_CUX2_dev-3           SET    1992    0.0037663   0.00072855      0.02474       0.4395
L2-3_CUX2_dev-4           SET    1988     0.012346    0.0023859     0.024283      0.30558
L2-3_CUX2_dev-5           SET    1992    0.0082392    0.0015938     0.024203      0.36677
L2-3_CUX2_dev-6           SET    1988     0.016983    0.0032821     0.024276      0.24209
L2-3_CUX2_dev-fetal       SET    1992     0.020347    0.0039359     0.024186       0.2001
L3_CUX2_PRSS12            SET    1988    0.0070947    0.0013711     0.024805      0.38743
L4_RORB_dev-1             SET    1979    -0.035364   -0.0068194     0.023999       0.9297
L4_RORB_dev-2             SET    1984     0.081196     0.015676     0.024628   0.00048923
L4_RORB_dev-fetal         SET    1985      0.06229     0.012029     0.024619    0.0057031
L4_RORB_LRRK1             SET    1988     0.092025     0.017784     0.024811   0.00010421
L4_RORB_MET               SET    1988     0.070001     0.013528     0.025064     0.002613
L4_RORB_MME               SET    1989     0.029606    0.0057229     0.024506      0.11351
L5-6_THEMIS_CNR1          SET    1988     0.056569     0.010932     0.024592      0.01072
L5-6_THEMIS_dev-1         SET    1984     0.047136    0.0091005      0.02447     0.027038
L5-6_THEMIS_dev-2         SET    1982     0.050112    0.0096703     0.024675     0.021138
L5-6_THEMIS_NTNG2         SET    1988     0.018676    0.0036091     0.024451       0.2225
L5-6_TLE4_dev             SET    1989     0.051228    0.0099025     0.023883     0.015981
L5-6_TLE4_HTR2C           SET    1985    -0.044842   -0.0086596     0.024521      0.96627
L5-6_TLE4_SCUBE1          SET    1989     0.027732    0.0053606     0.024922      0.13292
L5-6_TLE4_SORCS1          SET    1976     0.064621     0.012452     0.025062    0.0049644
LAMP5_CCK                 SET    1983     0.039761    0.0076746     0.024791     0.054383
LAMP5_NDNF                SET    1981    -0.014746   -0.0028449     0.024611      0.72546
LAMP5_NOS1                SET    1986     0.038736    0.0074823     0.024504     0.056966
MGE_dev-1                 SET    1993     0.065402     0.012655     0.024254    0.0035045
MGE_dev-2                 SET    1987     0.038973    0.0075298     0.023953     0.051864
Micro                     SET    1986    -0.039466   -0.0076233     0.024883      0.94363
Micro_out                 SET    1991    -0.070343    -0.013604     0.024428      0.99801
Oligo_mat                 SET    1994     0.066408     0.012852     0.025233     0.004249
Oligo-1                   SET    1990     0.080314     0.015529     0.024822   0.00060736
Oligo-2                   SET    1990     0.064321     0.012436     0.024812    0.0047677
Oligo-3                   SET    1997     0.098907     0.019156     0.024524   2.7588e-05
Oligo-4                   SET    1994     0.073354     0.014196      0.02482    0.0015622
Oligo-5                   SET    1992     0.048101    0.0093046     0.024752     0.025994
OPC                       SET    1984     0.014224    0.0027462     0.025142      0.28578
OPC_dev                   SET    1982     0.011573    0.0022333     0.024642       0.3193
OPC_MBP                   SET    1986    0.0052532    0.0010147     0.024798      0.41611
PN_dev                    SET    1983      0.03028    0.0058447      0.02395      0.10306
PV_dev                    SET    1982     0.056494     0.010902     0.024336     0.010136
PV_SCUBE3                 SET    1977     0.029517    0.0056891     0.024562      0.11474
PV_SCUBE3_dev             SET    1979     0.044404    0.0085627      0.02444     0.034623
