# TOTAL_GENES = 32284
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                 TYPE  NGENES         BETA     BETA_STD           SE            P
Astro_dev-1               SET     857      0.11651      0.01873      0.03727   0.00088634
Astro_dev-2               SET     945      0.07461     0.012577     0.034883      0.01623
Astro_dev-3               SET     633     0.090297      0.01252     0.042574      0.01697
Astro_dev-4               SET     897     0.076968      0.01265      0.03588     0.015976
Astro_dev-5               SET     385      0.03819    0.0041456      0.05176      0.23031
Astro_GFAP                SET     835     0.027003    0.0042862      0.03803      0.23884
Astro_SLC1A2              SET     922     0.057074    0.0095066     0.036099     0.056943
Astro_SLC1A2_dev          SET     842     0.072561     0.011565     0.038578     0.030001
BKGR_NRGN                 SET     557     0.021347    0.0027797     0.044065      0.31404
CCK_RELN                  SET    1048     0.055774    0.0098846     0.033883     0.049881
CCK_SORCS1                SET    1137     0.034359    0.0063335     0.032256       0.1434
CCK_SYT6                  SET     916      0.06072     0.010082     0.035303     0.042725
CGE_dev                   SET    1203      0.06205     0.011753     0.031723     0.025241
ID2_CSMD1                 SET    1107   -0.0059695   -0.0010863     0.033035       0.5717
ID2_dev                   SET     986     0.072352      0.01245     0.033826     0.016227
L2_CUX2_LAMP5             SET    1039     0.080629      0.01423     0.033968    0.0088103
L2_CUX2_LAMP5_dev         SET    1054     0.088653     0.015755     0.033958    0.0045209
L2-3_CUX2_dev-1           SET    1034     0.040907    0.0072029     0.034744      0.11953
L2-3_CUX2_dev-2           SET    1082     0.060182     0.010832     0.033223     0.035041
L2-3_CUX2_dev-3           SET    1055      0.11096     0.019728     0.033518   0.00046661
L2-3_CUX2_dev-4           SET    1166       0.1107     0.020654     0.031464   0.00021764
L2-3_CUX2_dev-5           SET     918     0.030522    0.0050732     0.035086      0.19218
L2-3_CUX2_dev-6           SET    1031     0.019776    0.0034773     0.033553       0.2778
L2-3_CUX2_dev-fetal       SET    1149     0.061568     0.011407     0.031122     0.023955
L3_CUX2_PRSS12            SET     997     0.034465    0.0059625     0.034677      0.16015
L4_RORB_dev-1             SET    1094     0.057379     0.010382     0.032128     0.037062
L4_RORB_dev-2             SET     947      0.10301     0.017382     0.035621    0.0019169
L4_RORB_dev-fetal         SET    1294      0.14333     0.028116     0.030054   9.3059e-07
L4_RORB_LRRK1             SET     961     0.087893     0.014937     0.035547    0.0067101
L4_RORB_MET               SET    1085     0.091801     0.016544     0.033553    0.0031116
L4_RORB_MME               SET    1117     0.058354     0.010665     0.032691     0.037135
L5-6_THEMIS_CNR1          SET     859     0.077168     0.012419      0.03701     0.018538
L5-6_THEMIS_dev-1         SET    1323      0.10629     0.021071     0.030278   0.00022418
L5-6_THEMIS_dev-2         SET    1008     0.091202     0.015862     0.034147    0.0037852
L5-6_THEMIS_NTNG2         SET     784     0.045375    0.0069847     0.038477      0.11915
L5-6_TLE4_dev             SET    1342      0.11698     0.023349      0.02952    3.716e-05
L5-6_TLE4_HTR2C           SET    1001    -0.028711   -0.0049767     0.033515      0.80418
L5-6_TLE4_SCUBE1          SET    1059     0.059037     0.010516     0.033307     0.038161
L5-6_TLE4_SORCS1          SET    1060     0.067459     0.012021     0.033555     0.022201
LAMP5_CCK                 SET    1024     0.037157    0.0065119     0.033373      0.13277
LAMP5_NDNF                SET    1103     0.033553    0.0060951     0.032296      0.14943
LAMP5_NOS1                SET    1024     0.032063    0.0056192     0.033752      0.17107
MGE_dev-1                 SET    1100      0.08355     0.015158      0.03226     0.004803
