# TOTAL_GENES = 18888
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                 TYPE  NGENES         BETA     BETA_STD           SE            P
Astro_dev-1               SET    1456    0.0043528     0.001161     0.031916      0.44576
Astro_dev-2               SET    1280    -0.012944   -0.0032534     0.033516      0.65032
Astro_dev-3               SET    1229    -0.014218   -0.0035068     0.033288      0.66535
Astro_dev-4               SET    1084    -0.092594    -0.021537     0.035729      0.99522
Astro_dev-5               SET     833    -0.045268   -0.0092947      0.04065      0.86727
Astro_GFAP                SET    1419    -0.012905   -0.0034017     0.032068      0.65631
Astro_SLC1A2              SET    1415    0.0019224   0.00050609     0.032361      0.47632
Astro_SLC1A2_dev          SET    1407     0.010307    0.0027064     0.032195      0.37443
BKGR_NRGN                 SET    1531    -0.022513   -0.0061445     0.030838      0.76731
CCK_RELN                  SET     960    -0.018511    -0.004066     0.038645      0.68403
CCK_SORCS1                SET     971   0.00087117   0.00019238     0.037981      0.49085
CCK_SYT6                  SET     903    -0.057773    -0.012327     0.039666      0.92736
CGE_dev                   SET     813    -0.016355   -0.0033195     0.040877      0.65546
ID2_CSMD1                 SET     957    -0.034678   -0.0076058     0.038402      0.81674
ID2_dev                   SET     906     -0.00249  -0.00053212     0.039288      0.52527
L2_CUX2_LAMP5             SET    1276     0.014656    0.0036784     0.033882      0.33267
L2_CUX2_LAMP5_dev         SET    1140      0.04795     0.011419     0.035401     0.087804
L2-3_CUX2_dev-1           SET    1272     0.016787    0.0042072     0.033942      0.31045
L2-3_CUX2_dev-2           SET    1234   -0.0023652  -0.00058449       0.0338      0.52789
L2-3_CUX2_dev-3           SET    1243    -0.034967   -0.0086703     0.034265      0.84624
L2-3_CUX2_dev-4           SET    1002     -0.05239    -0.011743     0.036262      0.92573
L2-3_CUX2_dev-5           SET    1266   -0.0016408  -0.00041032     0.033598      0.51947
