# TOTAL_GENES = 51176
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = L4_RORB_LRRK1 (set)
VARIABLE                 TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
L4_RORB_LRRK1             SET      1    2314      0.10175     0.021142     0.023441   7.1216e-06
Astro_dev-1               SET      1    2304     0.045223    0.0093772     0.024051     0.030037
L4_RORB_LRRK1             SET      2    2314      0.10152     0.021094     0.023443   7.4578e-06
Astro_dev-2               SET      2    2232     0.018894    0.0038588     0.024203      0.21751
L4_RORB_LRRK1             SET      3    2314      0.10112     0.021011     0.023442   8.0526e-06
Astro_dev-3               SET      3    1863     0.020038     0.003753      0.02559       0.2168
L4_RORB_LRRK1             SET      4    2314      0.10131     0.021051     0.023441   7.7527e-06
Astro_dev-4               SET      4    1972   -0.0097766   -0.0018818     0.025366      0.65004
L4_RORB_LRRK1             SET      5    2314      0.10092      0.02097     0.023447   8.3994e-06
Astro_dev-5               SET      5    1240     0.024183    0.0037185     0.031461      0.22105
L4_RORB_LRRK1             SET      6    2314      0.10122     0.021032     0.023442    7.891e-06
Astro_GFAP                SET      6    2261    -0.014563   -0.0029927      0.02387       0.7291
L4_RORB_LRRK1             SET      7    2314      0.10138     0.021064     0.023441   7.6615e-06
Astro_SLC1A2              SET      7    2350     0.016514    0.0034565       0.0237      0.24297
L4_RORB_LRRK1             SET      8    2314       0.1016     0.021111     0.023442   7.3364e-06
Astro_SLC1A2_dev          SET      8    2258     0.030421    0.0062476     0.024715      0.10919
L4_RORB_LRRK1             SET      9    2314      0.10149     0.021087     0.023562   8.2894e-06
BKGR_NRGN                 SET      9    2078    -0.001823  -0.00035981      0.02462      0.52951
L4_RORB_LRRK1             SET     10    2314      0.10182     0.021156     0.023494   7.3479e-06
CCK_RELN                  SET     10    2001   -0.0081218   -0.0015743     0.025181      0.62647
L4_RORB_LRRK1             SET     11    2314       0.1009     0.020965     0.023468   8.5842e-06
CCK_SORCS1                SET     11    2120    0.0088187    0.0017573     0.024273      0.35819
L4_RORB_LRRK1             SET     12    2314      0.10176     0.021143     0.023452   7.1811e-06
CCK_SYT6                  SET     12    1826    -0.016152   -0.0029961     0.025831      0.73411
L4_RORB_LRRK1             SET     13    2314      0.10122     0.021031      0.02344   7.8905e-06
CGE_dev                   SET     13    2009     0.041728    0.0081039     0.024532     0.044481
L4_RORB_LRRK1             SET     14    2314      0.10286     0.021372     0.023484    5.956e-06
ID2_CSMD1                 SET     14    2067    -0.026383   -0.0051941     0.024361      0.86059
L4_RORB_LRRK1             SET     15    2314      0.10038     0.020858     0.023456   9.3855e-06
ID2_dev                   SET     15    1879     0.028365    0.0053346     0.025768      0.13549
L4_RORB_LRRK1             SET     16    2314      0.10062     0.020906     0.024472     1.97e-05
L2_CUX2_LAMP5             SET     16    2356    0.0023756   0.00049784     0.024055      0.46067
L4_RORB_LRRK1             SET     17    2314     0.088561     0.018401      0.02425   0.00013027
L2_CUX2_LAMP5_dev         SET     17    2229     0.050654     0.010339     0.024689     0.020106
L4_RORB_LRRK1             SET     18    2314     0.089949      0.01869     0.024887    0.0001508
L2-3_CUX2_dev-1           SET     18    2338     0.033724    0.0070416     0.024811     0.087046
L4_RORB_LRRK1             SET     19    2314     0.098812     0.020531     0.023628   1.4479e-05
L2-3_CUX2_dev-2           SET     19    2331     0.019889    0.0041469     0.023575      0.19943
L4_RORB_LRRK1             SET     20    2314      0.10228     0.021252     0.023888   9.3009e-06
