# TOTAL_GENES = 51176
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = L4_RORB_MET (set)
VARIABLE                 TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
L4_RORB_MET               SET      1    2298     0.080193     0.016608     0.023719   0.00036155
Astro_dev-1               SET      1    2304     0.044832    0.0092961     0.024053     0.031174
L4_RORB_MET               SET      2    2298     0.079778     0.016522     0.023719   0.00038537
Astro_dev-2               SET      2    2232     0.017409    0.0035556     0.024204      0.23599
L4_RORB_MET               SET      3    2298     0.079829     0.016532     0.023719   0.00038232
Astro_dev-3               SET      3    1863     0.021137    0.0039588     0.025592      0.20443
L4_RORB_MET               SET      4    2298      0.08006      0.01658     0.023724   0.00037006
Astro_dev-4               SET      4    1972    -0.011509   -0.0022153     0.025374      0.67493
L4_RORB_MET               SET      5    2298     0.079461     0.016456     0.023724   0.00040538
Astro_dev-5               SET      5    1240     0.025003    0.0038446     0.031463      0.21341
L4_RORB_MET               SET      6    2298     0.079976     0.016563      0.02372   0.00037402
Astro_GFAP                SET      6    2261    -0.015896   -0.0032665     0.023873      0.74724
L4_RORB_MET               SET      7    2298     0.079705     0.016506      0.02372   0.00038985
Astro_SLC1A2              SET      7    2350     0.015423    0.0032282     0.023703      0.25763
L4_RORB_MET               SET      8    2298     0.080151     0.016599      0.02372   0.00036412
Astro_SLC1A2_dev          SET      8    2258     0.030243     0.006211     0.024718      0.11057
L4_RORB_MET               SET      9    2298     0.080002     0.016568     0.023905   0.00040933
BKGR_NRGN                 SET      9    2078   -0.0013548   -0.0002674     0.024688      0.52188
L4_RORB_MET               SET     10    2298     0.080098     0.016588     0.023752   0.00037317
CCK_RELN                  SET     10    2001   -0.0052395   -0.0010156     0.025162      0.58248
L4_RORB_MET               SET     11    2298     0.079261     0.016415     0.023808   0.00043596
CCK_SORCS1                SET     11    2120    0.0068506    0.0013651     0.024338      0.38917
L4_RORB_MET               SET     12    2298     0.080728     0.016718     0.023755   0.00033939
CCK_SYT6                  SET     12    1826    -0.017595   -0.0032637     0.025861      0.75186
L4_RORB_MET               SET     13    2298     0.079306     0.016424     0.023721    0.0004143
CGE_dev                   SET     13    2009      0.04087    0.0079372     0.024537     0.047898
L4_RORB_MET               SET     14    2298     0.081793     0.016939     0.023788   0.00029296
ID2_CSMD1                 SET     14    2067    -0.026286    -0.005175      0.02439      0.85942
L4_RORB_MET               SET     15    2298      0.07901     0.016363      0.02373   0.00043539
ID2_dev                   SET     15    1879     0.029731    0.0055914     0.025766      0.12428
L4_RORB_MET               SET     16    2298      0.07786     0.016124     0.025125   0.00097207
L2_CUX2_LAMP5             SET     16    2356    0.0058296    0.0012217      0.02441      0.40562
L4_RORB_MET               SET     17    2298     0.062345     0.012911     0.025153    0.0065965
L2_CUX2_LAMP5_dev         SET     17    2229     0.052873     0.010792     0.025312     0.018362
L4_RORB_MET               SET     18    2298     0.064424     0.013342     0.025714    0.0061172
L2-3_CUX2_dev-1           SET     18    2338      0.03933    0.0082123     0.025338     0.060308
L4_RORB_MET               SET     19    2298     0.076743     0.015893     0.023962   0.00068135
L2-3_CUX2_dev-2           SET     19    2331     0.021505    0.0044839      0.02363       0.1814
L4_RORB_MET               SET     20    2298     0.081028      0.01678     0.024454   0.00046122
L2-3_CUX2_dev-3           SET     20    2307   -0.0048507   -0.0010064     0.024274      0.57919
L4_RORB_MET               SET     21    2298      0.07923     0.016408     0.023723   0.00041968
L2-3_CUX2_dev-4           SET     21    2166     0.031583    0.0063586     0.023688     0.091223
L4_RORB_MET               SET     22    2298     0.079549     0.016474     0.024465   0.00057437
L2-3_CUX2_dev-5           SET     22    2220    0.0011831   0.00024101     0.024435      0.48069
L4_RORB_MET               SET     23    2298     0.078043     0.016162     0.023781   0.00051633
L2-3_CUX2_dev-6           SET     23    2127     0.025541    0.0050978      0.02435      0.14711
L4_RORB_MET               SET     24    2298     0.078881     0.016336     0.023752   0.00044879
L2-3_CUX2_dev-fetal       SET     24    2141     0.018265     0.003657      0.02363      0.21977
L4_RORB_MET               SET     25    2298     0.090199      0.01868     0.025662   0.00022023
L3_CUX2_PRSS12            SET     25    2235    -0.027567   -0.0056339     0.026063       0.8549
L4_RORB_MET               SET     26    2298     0.081973     0.016976     0.023796   0.00028609
L4_RORB_dev-1             SET     26    1989     -0.02735   -0.0052862     0.024546      0.86741
L4_RORB_MET               SET     27    2298     0.051077     0.010578     0.024553     0.018753
L4_RORB_dev-2             SET     27    2309      0.11003     0.022839     0.024364   3.1602e-06
L4_RORB_MET               SET     28    2298     0.076368     0.015815      0.02374   0.00064851
L4_RORB_dev-fetal         SET     28    2317     0.076501     0.015905     0.023446   0.00055211
L4_RORB_MET               SET     29    2298     0.042825    0.0088688     0.026456     0.052757
L4_RORB_LRRK1             SET     29    2314     0.082554     0.017153     0.026148   0.00079729
L4_RORB_MET               SET     30    2298     0.078219     0.016199     0.025759    0.0011973
L4_RORB_MME               SET     30    2189    0.0042044   0.00085075     0.026071      0.43594
L4_RORB_MET               SET     31    2298     0.070127     0.014523     0.025468    0.0029496
L5-6_THEMIS_CNR1          SET     31    2134     0.027005    0.0053983     0.025792      0.14755
L4_RORB_MET               SET     32    2298     0.077847     0.016122     0.023731   0.00051888
L5-6_THEMIS_dev-1         SET     32    2334     0.057139     0.011921     0.023362    0.0072297
L4_RORB_MET               SET     33    2298     0.071213     0.014748     0.024022    0.0015171
L5-6_THEMIS_dev-2         SET     33    2294      0.05374      0.01112      0.02375     0.011829
L4_RORB_MET               SET     34    2298     0.073567     0.015235     0.024415    0.0012938
L5-6_THEMIS_NTNG2         SET     34    1924     0.028093    0.0053438     0.025934      0.13936
L4_RORB_MET               SET     35    2298      0.07808      0.01617     0.023741   0.00050352
L5-6_TLE4_dev             SET     35    2327     0.038994    0.0081238     0.022969     0.044792
L4_RORB_MET               SET     36    2298     0.091759     0.019003     0.024193   7.4591e-05
