Category	P	BF	FDR
L5-6_THEMIS_CNR1	0.00036503411658171	0.030662865792863644	0.022454537001636434
L4_RORB_LRRK1	0.000534631833372296	0.04490907400327287	0.022454537001636434
L2-3_CUX2_dev-1	0.000964874405087224	0.08104945002732682	0.02701648334244227
L4_RORB_dev-2	0.00148693082705363	0.12490218947250492	0.03122554736812623
L3_CUX2_PRSS12	0.0175907626830266	1	0.2955248130748469
L4_RORB_MET	0.023060648126883	1	0.322849073776362
L2_CUX2_LAMP5_dev	0.0526135069428922	1	0.6313620833147064
L2_CUX2_LAMP5	0.0635973428977356	1	0.650852043002954
L2-3_CUX2_dev-5	0.0697341474646022	1	0.650852043002954
L5-6_THEMIS_dev-2	0.0966788689789263	1	0.8030929759318124
L2-3_CUX2_dev-3	0.105166937324404	1	0.8030929759318124
L4_RORB_MME	0.150397545180803	1	0.999999943801263
L5-6_TLE4_SORCS1	0.204824931205583	1	0.999999943801263
L5-6_TLE4_HTR2C	0.224669233041393	1	0.999999943801263
L2-3_CUX2_dev-2	0.254240515755245	1	0.999999943801263
SST_ADGRG6	0.285479134485899	1	0.999999943801263
SST_CALB1	0.327290039928165	1	0.999999943801263
L5-6_THEMIS_NTNG2	0.357580565128345	1	0.999999943801263
SST_STK32A	0.488865194708734	1	0.999999943801263
PV_WFDC2	0.521463699330594	1	0.999999943801263
PV_SULF1	0.607090131010299	1	0.999999943801263
PV_dev	0.640799677001116	1	0.999999943801263
L2-3_CUX2_dev-6	0.647415200995662	1	0.999999943801263
SST_TH	0.677406500118388	1	0.999999943801263
L5-6_TLE4_SCUBE1	0.691171372091615	1	0.999999943801263
SST_ADGRG6_dev	0.706986541386698	1	0.999999943801263
SST_CALB1_dev	0.719259288697519	1	0.999999943801263
OPC	0.776821744146735	1	0.999999943801263
PV_SST	0.785027738561499	1	0.999999943801263
VIP_ADAMTSL1	0.850093025319251	1	0.999999943801263
PV_SCUBE3	0.858092393089	1	0.999999943801263
SST_B3GAT2	0.866924580484481	1	0.999999943801263
BKGR_NRGN	0.879447019723358	1	0.999999943801263
VIP_KIRREL3	0.898032352887142	1	0.999999943801263
SST_BRINP3	0.905872598807186	1	0.999999943801263
CCK_RELN	0.911924324483627	1	0.999999943801263
PV_SULF1_dev	0.922310213320972	1	0.999999943801263
ID2_CSMD1	0.924244788933404	1	0.999999943801263
LAMP5_NDNF	0.925094967570609	1	0.999999943801263
Oligo-3	0.935951845011122	1	0.999999943801263
VIP_CHRM2	0.945520635191954	1	0.999999943801263
L4_RORB_dev-1	0.959947820929982	1	0.999999943801263
Astro_GFAP	0.972850883130014	1	0.999999943801263
Oligo-4	0.97952774983351	1	0.999999943801263
VIP_ABI3BP	0.980196026187574	1	0.999999943801263
OPC_MBP	0.981511344860911	1	0.999999943801263
LAMP5_NOS1	0.983622783998092	1	0.999999943801263
Oligo-1	0.985081838697005	1	0.999999943801263
ID2_dev	0.98556842193766	1	0.999999943801263
VIP_HS3ST3A1	0.986408236311395	1	0.999999943801263
VIP_CRH	0.987113993668531	1	0.999999943801263
Astro_dev-1	0.987580658645542	1	0.999999943801263
L2-3_CUX2_dev-4	0.988325514040127	1	0.999999943801263
Astro_SLC1A2_dev	0.988795537535253	1	0.999999943801263
Astro_SLC1A2	0.993435932004345	1	0.999999943801263
Astro_dev-2	0.993610294101364	1	0.999999943801263
Oligo-2	0.993708822741324	1	0.999999943801263
Vas_TBX18	0.993732111699102	1	0.999999943801263
L2-3_CUX2_dev-fetal	0.993925319334238	1	0.999999943801263
VIP_PCDH20	0.99396655565091	1	0.999999943801263
OPC_dev	0.995243300666882	1	0.999999943801263
Astro_dev-5	0.996084989192195	1	0.999999943801263
PV_SCUBE3_dev	0.997113477879636	1	0.999999943801263
LAMP5_CCK	0.997503984257414	1	0.999999943801263
L4_RORB_dev-fetal	0.997984228131845	1	0.999999943801263
Oligo_mat	0.998696279599365	1	0.999999943801263
CCK_SYT6	0.998828564830558	1	0.999999943801263
SST_NPY	0.998922803479967	1	0.999999943801263
L5-6_THEMIS_dev-1	0.999044341505791	1	0.999999943801263
MGE_dev-1	0.99917016596672	1	0.999999943801263
PN_dev	0.99925270056284	1	0.999999943801263
MGE_dev-2	0.99926198527347	1	0.999999943801263
VIP_DPP6	0.999308404840297	1	0.999999943801263
Astro_dev-3	0.999417361917953	1	0.999999943801263
Oligo-5	0.999580548320965	1	0.999999943801263
Micro	0.999599907156821	1	0.999999943801263
CCK_SORCS1	0.999670197763395	1	0.999999943801263
Vas_PDGFRB	0.999745551640868	1	0.999999943801263
CGE_dev	0.999857044213478	1	0.999999943801263
L5-6_TLE4_dev	0.999878357775591	1	0.999999943801263
Micro_out	0.999971233934971	1	0.999999943801263
VIP_dev	0.999999618502912	1	0.999999943801263
Vas_CLDN5	0.999999880679314	1	0.999999943801263
Astro_dev-4	0.999999943801263	1	0.999999943801263
