Category	P	BF	FDR
Astro_dev-5	0.000672777182905533	0.056513283364064776	0.022894224229856725
MGE_dev-1	0.000779415289689582	0.06547088433392488	0.022894224229856725
MGE_dev-2	0.00135477695508222	0.11380126422690648	0.022894224229856725
SST_B3GAT2	0.00138889481462599	0.11666716442858316	0.022894224229856725
Micro_out	0.00146628112426786	0.12316761443850023	0.022894224229856725
Oligo-3	0.00182176632235408	0.1530283710777427	0.022894224229856725
CGE_dev	0.00224940279080146	0.18894983442732266	0.022894224229856725
OPC	0.00247859815945922	0.20820224539457446	0.022894224229856725
Oligo-4	0.00280404993767588	0.23554019476477392	0.022894224229856725
Oligo-1	0.0028802912248411	0.2419444628866524	0.022894224229856725
Vas_TBX18	0.00343878958573534	0.2888583252017686	0.022894224229856725
SST_ADGRG6	0.00372546708177298	0.3129392348689303	0.022894224229856725
SST_CALB1_dev	0.00393305223112529	0.33037638741452435	0.022894224229856725
Oligo-5	0.00393494093397141	0.33053503845359844	0.022894224229856725
Vas_PDGFRB	0.00408825432676013	0.3434133634478509	0.022894224229856725
OPC_MBP	0.00468503399252985	0.3935428553725074	0.023919789796426043
ID2_dev	0.00491293475397103	0.4126865193335665	0.023919789796426043
VIP_PCDH20	0.00526531775202023	0.4422866911696993	0.023919789796426043
Astro_dev-3	0.0054104286444297	0.45447600613209477	0.023919789796426043
OPC_dev	0.00583498574236601	0.49013880235874485	0.02450694011793724
Micro	0.00659733373003811	0.5541760333232013	0.024770971222108095
SST_CALB1	0.00718168261103531	0.603261339326966	0.024770971222108095
VIP_dev	0.00752597868934622	0.6321822099050824	0.024770971222108095
SST_STK32A	0.00756250886676072	0.6352507448079006	0.024770971222108095
BKGR_NRGN	0.00784070815359121	0.6586194849016616	0.024770971222108095
PV_dev	0.0078574627418872	0.6600268703185248	0.024770971222108095
Vas_CLDN5	0.00796209789282046	0.6688162229969186	0.024770971222108095
SST_ADGRG6_dev	0.0136996645999657	1	0.0410989937998971
Oligo_mat	0.0208210077917178	1	0.0603091260173895
Oligo-2	0.0239861999040764	1	0.06716135973141392
L2-3_CUX2_dev-6	0.0263974711951968	1	0.07152863162569455
SST_NPY	0.0336963403874902	1	0.08684749765266093
Astro_dev-2	0.0341186597921168	1	0.08684749765266093
PV_SST	0.0428060670474936	1	0.1057561656467489
L2-3_CUX2_dev-4	0.0453297663499192	1	0.10879143923980607
CCK_SYT6	0.0499468154275157	1	0.11654256933086998
SST_TH	0.0552049525215039	1	0.1253301624812521
VIP_ABI3BP	0.0630900807600172	1	0.13908302200011605
L4_RORB_LRRK1	0.0645742602143396	1	0.13908302200011605
L3_CUX2_PRSS12	0.0679661026771829	1	0.1401392613278911
VIP_CRH	0.0684013061243278	1	0.1401392613278911
PV_WFDC2	0.0727369145874864	1	0.14245485967612356
PV_SCUBE3_dev	0.0729233210246823	1	0.14245485967612356
Astro_dev-1	0.0784937363245503	1	0.14849713801649667
CCK_RELN	0.0795520382231232	1	0.14849713801649667
L5-6_THEMIS_CNR1	0.0836939186257524	1	0.15267695558418082
L2-3_CUX2_dev-5	0.0861811536586757	1	0.15267695558418082
VIP_DPP6	0.0872439746195319	1	0.15267695558418082
LAMP5_CCK	0.111802521328274	1	0.18873055277593273
SST_BRINP3	0.112339614747579	1	0.18873055277593273
Astro_SLC1A2	0.118411075052562	1	0.19503000596892564
PV_SULF1	0.134273674773464	1	0.20995537141292
Astro_SLC1A2_dev	0.134836072282284	1	0.20995537141292
VIP_ADAMTSL1	0.13497131019402	1	0.20995537141292
LAMP5_NOS1	0.13996754642297	1	0.213562850262036
Astro_GFAP	0.142375233508024	1	0.213562850262036
L2-3_CUX2_dev-fetal	0.151394111242036	1	0.22310711130405303
LAMP5_NDNF	0.159265797443696	1	0.23066081009087008
ID2_CSMD1	0.164612553762954	1	0.23436363586590062
VIP_KIRREL3	0.177347798370808	1	0.24828691771913117
L5-6_THEMIS_dev-2	0.18265111602281	1	0.251519569605181
L5-6_THEMIS_NTNG2	0.201768578636939	1	0.2733638807339173
L4_RORB_dev-2	0.208279788749126	1	0.27770638499883465
VIP_CHRM2	0.21593252051123	1	0.2834114331709894
L2_CUX2_LAMP5	0.229467296933979	1	0.2940610887466886
L2-3_CUX2_dev-1	0.233331886351789	1	0.2940610887466886
L4_RORB_MME	0.234548725547954	1	0.2940610887466886
L4_RORB_MET	0.247005341669659	1	0.30512424559193174
L2_CUX2_LAMP5_dev	0.255894634737824	1	0.31152390315909007
PV_SCUBE3	0.296147312962398	1	0.35537677555487757
VIP_HS3ST3A1	0.346952730262296	1	0.41047928650750515
L5-6_TLE4_SORCS1	0.358309527013034	1	0.4180277815152063
CCK_SORCS1	0.404602814219734	1	0.46557036156791304
L4_RORB_dev-fetal	0.451299153074793	1	0.5122855251119272
PV_SULF1_dev	0.491053694826597	1	0.5439129933163656
L5-6_TLE4_HTR2C	0.492111755857664	1	0.5439129933163656
L5-6_TLE4_dev	0.534370611115541	1	0.5829497575805901
L2-3_CUX2_dev-2	0.604128901743745	1	0.6506003557240331
PN_dev	0.614537962843703	1	0.6534327706186208
L5-6_THEMIS_dev-1	0.736358027813564	1	0.7731759292042422
L2-3_CUX2_dev-3	0.777298643926631	1	0.8060874825905802
L5-6_TLE4_SCUBE1	0.878566919030644	1	0.8999953804704158
L4_RORB_dev-1	0.955122703559496	1	0.959605094781984
Astro_dev-4	0.959605094781984	1	0.959605094781984
