Category	P	BF	FDR
OPC	0.00444104821345805	0.37304804993047624	0.37304804993047624
SST_CALB1_dev	0.0183805403159917	1	0.41527403755247866
SST_ADGRG6	0.0242625130740397	1	0.41527403755247866
SST_B3GAT2	0.0267256003523506	1	0.41527403755247866
Oligo-3	0.026834468460874	1	0.41527403755247866
Micro	0.036744654724069	1	0.41527403755247866
SST_STK32A	0.0388534483934902	1	0.41527403755247866
Oligo-1	0.0395499083383313	1	0.41527403755247866
Oligo-4	0.051657168624822	1	0.48213357383167205
Oligo-5	0.0704608527756123	1	0.4949568845573934
PV_dev	0.0716933058022688	1	0.4949568845573934
OPC_MBP	0.0724727051583206	1	0.4949568845573934
SST_CALB1	0.0795293715339447	1	0.4949568845573934
MGE_dev-1	0.0845052283577447	1	0.4949568845573934
Oligo_mat	0.0883851579566774	1	0.4949568845573934
Oligo-2	0.0984318580773173	1	0.5167672549059158
CGE_dev	0.118415616726347	1	0.550397386301712
SST_ADGRG6_dev	0.120690119223533	1	0.550397386301712
L2-3_CUX2_dev-6	0.132696308068038	1	0.550397386301712
L3_CUX2_PRSS12	0.133548016907106	1	0.550397386301712
OPC_dev	0.137599346575428	1	0.550397386301712
MGE_dev-2	0.151902924830332	1	0.5784637988174951
Micro_out	0.166017104133787	1	0.5784637988174951
L4_RORB_dev-2	0.166543946730242	1	0.5784637988174951
Astro_dev-1	0.182590236629887	1	0.5784637988174951
Vas_TBX18	0.185404767688956	1	0.5784637988174951
L5-6_THEMIS_CNR1	0.185934792477052	1	0.5784637988174951
ID2_dev	0.204158385392488	1	0.6115436834696569
PV_WFDC2	0.211128176435953	1	0.6115436834696569
L4_RORB_LRRK1	0.22621563861899	1	0.633403788133172
VIP_PCDH20	0.252801205321341	1	0.6665222393882284
L2_CUX2_LAMP5	0.257659964358349	1	0.6665222393882284
Astro_dev-3	0.269532206800537	1	0.6665222393882284
LAMP5_CCK	0.28188966576073	1	0.6665222393882284
Astro_SLC1A2	0.28686049728391	1	0.6665222393882284
Astro_SLC1A2_dev	0.298258730363466	1	0.6665222393882284
L2-3_CUX2_dev-1	0.305392979921815	1	0.6665222393882284
L4_RORB_MET	0.305410390717215	1	0.6665222393882284
BKGR_NRGN	0.30954183753178	1	0.6665222393882284
Astro_GFAP	0.317391542565823	1	0.6665222393882284
Astro_dev-2	0.326141307702058	1	0.6681296469903778
L2_CUX2_LAMP5_dev	0.340750411441297	1	0.6681296469903778
VIP_ABI3BP	0.342018747864122	1	0.6681296469903778
PV_SST	0.358383551858349	1	0.6841867808204846
L2-3_CUX2_dev-4	0.375947567713164	1	0.7017687930645728
L2-3_CUX2_dev-5	0.396531660919956	1	0.7241012938538327
VIP_CRH	0.421119350449564	1	0.7319670259679568
VIP_dev	0.428010999883948	1	0.7319670259679568
SST_TH	0.431039978562219	1	0.7319670259679568
CCK_SYT6	0.43569465831426	1	0.7319670259679568
L5-6_THEMIS_dev-2	0.473826843105954	1	0.7609263033403713
Vas_PDGFRB	0.484004895600377	1	0.7609263033403713
CCK_RELN	0.494995137952172	1	0.7609263033403713
LAMP5_NOS1	0.517159545036729	1	0.7609263033403713
L5-6_TLE4_SORCS1	0.521390536526686	1	0.7609263033403713
LAMP5_NDNF	0.527006089452775	1	0.7609263033403713
L4_RORB_MME	0.536129111566545	1	0.7609263033403713
PV_SULF1	0.539916196404438	1	0.7609263033403713
L2-3_CUX2_dev-fetal	0.543662309543038	1	0.7609263033403713
SST_BRINP3	0.547548752412694	1	0.7609263033403713
L5-6_THEMIS_NTNG2	0.552577434568603	1	0.7609263033403713
VIP_KIRREL3	0.568282815895364	1	0.7674788468983067
VIP_ADAMTSL1	0.57560913517373	1	0.7674788468983067
VIP_DPP6	0.609322452628347	1	0.7997357190747055
Vas_CLDN5	0.631531794940592	1	0.8161333965386112
PV_SCUBE3	0.658517552924544	1	0.8288241165240874
PV_SCUBE3_dev	0.665394560653366	1	0.8288241165240874
SST_NPY	0.670952856233785	1	0.8288241165240874
Astro_dev-5	0.684118623696922	1	0.8328400636310356
L5-6_TLE4_HTR2C	0.705806997644421	1	0.846438410020812
ID2_CSMD1	0.715441989422353	1	0.846438410020812
CCK_SORCS1	0.7546695175943	1	0.8804477705266834
VIP_CHRM2	0.774416881560108	1	0.8874434374072214
VIP_HS3ST3A1	0.781795409144457	1	0.8874434374072214
L4_RORB_dev-fetal	0.800539209715101	1	0.8966039148809132
L2-3_CUX2_dev-3	0.874215927081084	1	0.9572495031699153
L2-3_CUX2_dev-2	0.877478711239089	1	0.9572495031699153
PV_SULF1_dev	0.894458432583	1	0.9612720969103145
L5-6_THEMIS_dev-1	0.904053519713272	1	0.9612720969103145
L5-6_TLE4_dev	0.928654334488385	1	0.9750870512128043
L5-6_TLE4_SCUBE1	0.942825809173906	1	0.9777452835877544
PN_dev	0.956454960067869	1	0.9797831298256219
L4_RORB_dev-1	0.998130087932402	1	0.99968203137475
Astro_dev-4	0.99968203137475	1	0.99968203137475
