ID,Gene Name,Species,
ENSG00000173786,"2',3'-cyclic nucleotide 3' phosphodiesterase(CNP)",Homo sapiens,
ENSG00000113161,3-hydroxy-3-methylglutaryl-CoA reductase(HMGCR),Homo sapiens,
ENSG00000083720,3-oxoacid CoA-transferase 1(OXCT1),Homo sapiens,
ENSG00000183044,4-aminobutyrate aminotransferase(ABAT),Homo sapiens,
ENSG00000178394,5-hydroxytryptamine receptor 1A(HTR1A),Homo sapiens,
ENSG00000135312,5-hydroxytryptamine receptor 1B(HTR1B),Homo sapiens,
ENSG00000179546,5-hydroxytryptamine receptor 1D(HTR1D),Homo sapiens,
ENSG00000168830,5-hydroxytryptamine receptor 1E(HTR1E),Homo sapiens,
ENSG00000179097,5-hydroxytryptamine receptor 1F(HTR1F),Homo sapiens,
ENSG00000102468,5-hydroxytryptamine receptor 2A(HTR2A),Homo sapiens,
ENSG00000135914,5-hydroxytryptamine receptor 2B(HTR2B),Homo sapiens,
ENSG00000147246,5-hydroxytryptamine receptor 2C(HTR2C),Homo sapiens,
ENSG00000166736,5-hydroxytryptamine receptor 3A(HTR3A),Homo sapiens,
ENSG00000149305,5-hydroxytryptamine receptor 3B(HTR3B),Homo sapiens,
ENSG00000178084,5-hydroxytryptamine receptor 3C(HTR3C),Homo sapiens,
ENSG00000186090,5-hydroxytryptamine receptor 3D(HTR3D),Homo sapiens,
ENSG00000186038,5-hydroxytryptamine receptor 3E(HTR3E),Homo sapiens,
ENSG00000164270,5-hydroxytryptamine receptor 4(HTR4),Homo sapiens,
ENSG00000157219,5-hydroxytryptamine receptor 5A(HTR5A),Homo sapiens,
ENSG00000158748,5-hydroxytryptamine receptor 6(HTR6),Homo sapiens,
ENSG00000148680,5-hydroxytryptamine receptor 7(HTR7),Homo sapiens,
ENSG00000123836,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2(PFKFB2)",Homo sapiens,
ENSG00000179841,A-kinase anchoring protein 5(AKAP5),Homo sapiens,
ENSG00000127914,A-kinase anchoring protein 9(AKAP9),Homo sapiens,
ENSG00000097007,"ABL proto-oncogene 1, non-receptor tyrosine kinase(ABL1)",Homo sapiens,
ENSG00000137845,ADAM metallopeptidase domain 10(ADAM10),Homo sapiens,
ENSG00000143761,ADP ribosylation factor 1(ARF1),Homo sapiens,
ENSG00000134287,ADP ribosylation factor 3(ARF3),Homo sapiens,
ENSG00000113966,ADP ribosylation factor like GTPase 6(ARL6),Homo sapiens,
ENSG00000142208,AKT serine/threonine kinase 1(AKT1),Homo sapiens,
ENSG00000198768,APC down-regulated 1 like(APCDD1L),Homo sapiens,
ENSG00000154856,APC down-regulated 1(APCDD1),Homo sapiens,
ENSG00000184675,APC membrane recruitment protein 1(AMER1),Homo sapiens,
ENSG00000165566,APC membrane recruitment protein 2(AMER2),Homo sapiens,
ENSG00000178171,APC membrane recruitment protein 3(AMER3),Homo sapiens,
ENSG00000115266,APC regulator of WNT signaling pathway 2(APC2),Homo sapiens,
ENSG00000134982,APC regulator of WNT signaling pathway(APC),Homo sapiens,
ENSG00000165029,ATP binding cassette subfamily A member 1(ABCA1),Homo sapiens,
ENSG00000144452,ATP binding cassette subfamily A member 12(ABCA12),Homo sapiens,
ENSG00000006071,ATP binding cassette subfamily C member 8(ABCC8),Homo sapiens,
ENSG00000185883,ATPase H+ transporting V0 subunit c(ATP6V0C),Homo sapiens,
ENSG00000143882,ATPase H+ transporting V1 subunit C2(ATP6V1C2),Homo sapiens,
ENSG00000182220,ATPase H+ transporting accessory protein 2(ATP6AP2),Homo sapiens,
ENSG00000018625,ATPase Na+/K+ transporting subunit alpha 2(ATP1A2),Homo sapiens,
ENSG00000138138,ATPase family AAA domain containing 1(ATAD1),Homo sapiens,
ENSG00000174437,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2(ATP2A2),Homo sapiens,
ENSG00000258864,Adenomatous polyposis coli protein (H3BNH8_HUMAN),Homo sapiens,
ENSG00000157764,"B-Raf proto-oncogene, serine/threonine kinase(BRAF)",Homo sapiens,
ENSG00000106635,BAF chromatin remodeling complex subunit BCL7B(BCL7B),Homo sapiens,
ENSG00000007516,BAI1 associated protein 3(BAIAP3),Homo sapiens,
ENSG00000175866,BAR/IMD domain containing adaptor protein 2(BAIAP2),Homo sapiens,
ENSG00000131668,BARX homeobox 1(BARX1),Homo sapiens,
ENSG00000141376,BCAS3 microtubule associated cell migration factor(BCAS3),Homo sapiens,
ENSG00000002330,BCL2 associated agonist of cell death(BAD),Homo sapiens,
ENSG00000186174,BCL9 like(BCL9L),Homo sapiens,
ENSG00000116128,BCL9 transcription coactivator(BCL9),Homo sapiens,
ENSG00000136573,"BLK proto-oncogene, Src family tyrosine kinase(BLK)",Homo sapiens,
ENSG00000095739,BMP and activin membrane bound inhibitor(BAMBI),Homo sapiens,
ENSG00000160469,BR serine/threonine kinase 1(BRSK1),Homo sapiens,
ENSG00000174672,BR serine/threonine kinase 2(BRSK2),Homo sapiens,
ENSG00000122870,BicC family RNA binding protein 1(BICC1),Homo sapiens,
