# ALPHA = 0.05
# NUMBER_OF_TESTS = 84

# _SET1_  VARIABLE = L4_RORB_dev-fetal (set)
# _SET1_  NGENES = 1290
# _SET1_  P-VALUE = 7.70431e-05
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000223823     1    1037397    1089436    195      18  313467     -0.48334      0.48181    3.8858e-16     -0.48334
_SET1_   ENSG00000182873     1    2103233    2150828     91      17  313467      0.89096     0.068752    4.4409e-16      0.89096
_SET1_   ENSG00000270171     1    7743184    7789904    118      16  313467       2.8655   0.00025028    4.4409e-16       2.8655
_SET1_   ENSG00000232912     1    8449705    8504898     79      10  313467       4.8036   3.2901e-08             0       4.8036
_SET1_   ENSG00000261135     1   16806140   16852249    107      11  313467     -0.79273      0.59114    4.4409e-16     -0.79273
_SET1_   ENSG00000238142     1   17205033   17251144    106      10  313467      -1.3836        0.833    4.4409e-16      -1.3836
_SET1_   ENSG00000272426     1   17220834   17266271     91       9  313467       -1.249        0.799    4.4409e-16       -1.249
_SET1_   ENSG00000230035     1   18483423   18540840    172      36  313467      0.38774      0.15495    3.8858e-16      0.38774
_SET1_   ENSG00000203394     1   21034480   21080455    134      22  313467       3.8841   3.7144e-06    4.4409e-16       3.8841
_SET1_   ENSG00000233431     1   21877965   21927680    217      31  313467      -0.1773      0.33506    3.8858e-16      -0.1773
_SET1_   ENSG00000271840     1   22392106   22437853    101      15  313467       1.4653     0.023986    4.4409e-16       1.4653
_SET1_   ENSG00000240553     1   23336640   23449551    147      14  313467       1.2363     0.034097    4.4409e-16       1.2363
_SET1_   ENSG00000233478     1   25961035   26020602     80      13  313467      -1.1741      0.74082    4.4409e-16      -1.1741
_SET1_   ENSG00000225886     1   27960979   28006787     82      10  313467       -1.261      0.84739    4.4409e-16       -1.261
_SET1_   ENSG00000197989     1   28895050   28944495     59      13  313467      0.21203      0.22236    3.8858e-16      0.21203
_SET1_   ENSG00000203325     1   32507892   32574075     70      13  313467     -0.47228      0.53347    3.8858e-16     -0.47228
_SET1_   ENSG00000224409     1   33173335   33225838     92      10  313467     -0.32094      0.47297    3.8858e-16     -0.32094
_SET1_   ENSG00000231163     1   34299554   34361059    161      18  313467       3.2606   5.0223e-05    4.4409e-16       3.2606
_SET1_   ENSG00000227409     1   35814423   35866678     49       7  313467       1.5957     0.028516    4.4409e-16       1.5957
_SET1_   ENSG00000228060     1   39995832   40048875    128      18  313467       1.5771     0.015485    4.4409e-16       1.5771
_SET1_   ENSG00000228369     1   52481590   52528355     75       7  313467      0.96943      0.10764    4.4409e-16      0.96943
_SET1_   ENSG00000259818     1   53651335   53699925     89      13  313467       2.9005    0.0002321    4.4409e-16       2.9005
_SET1_   ENSG00000228838     1   53718696   53765378    102      13  313467       1.7441    0.0089411    4.4409e-16       1.7441
_SET1_   ENSG00000231090     1   55648534   55709850    176      15  313467       3.1838   9.7677e-05    4.4409e-16       3.1838
_SET1_   ENSG00000236341     1   57394559   57472430    260      27  313467       1.8291    0.0070393    4.4409e-16       1.8291
_SET1_   ENSG00000227935     1   57817248   57863122    214      16  313467      0.85877     0.066156    4.4409e-16      0.85877
_SET1_   ENSG00000226759     1   58291204   58356577    146      16  313467     -0.60758      0.50006    4.4409e-16     -0.60758
_SET1_   ENSG00000235038     1   58490811   58555946    204      23  313467       1.1931      0.03254    4.4409e-16       1.1931
_SET1_   ENSG00000237853     1   61704617   61754182     77      14  313467       1.1532     0.048876    4.4409e-16       1.1532
_SET1_   ENSG00000230798     1   63776555   63825112    129      33  313467       1.0897     0.048698    4.4409e-16       1.0897
_SET1_   ENSG00000237919     1   70469665   70531905    134      13  313467       2.2434    0.0029198    4.4409e-16       2.2434
_SET1_   ENSG00000226088     1   70815245   70861120     92      12  313467     -0.14726       0.3407    3.8858e-16     -0.14726
_SET1_   ENSG00000271992     1   70875754   70921219    127      23  313467       1.0632     0.048777    4.4409e-16       1.0632
_SET1_   ENSG00000235079     1   71479538   71542867    191      16  313467       1.2439     0.029895    4.4409e-16       1.2439
_SET1_   ENSG00000237324     1   74797263   74879486    143      19  313467       1.6099     0.016226    4.4409e-16       1.6099
_SET1_   ENSG00000230498     1   77498605   77554167    128      19  313467     -0.16679      0.35114    3.8858e-16     -0.16679
_SET1_   ENSG00000235927     1   78337033   78390224     90      17  313467      0.54787      0.16148    4.4409e-16      0.54787
_SET1_   ENSG00000271576     1   84532014   84578614     77      10  313467      0.14569       0.2292    3.8858e-16      0.14569
_SET1_   ENSG00000261737     1   87159185   87205145     97      19  313467       1.1575     0.044967    4.4409e-16       1.1575
_SET1_   ENSG00000267734     1   87387882   87435574    106       7  313467       2.7386   0.00069469    4.4409e-16       2.7386
_SET1_   ENSG00000227290     1   87809207   87872338    145      23  313467       2.6253   0.00063732    4.4409e-16       2.6253
_SET1_   ENSG00000224235     1   88355592   88406397     90      14  313467     -0.66075      0.55447    4.4409e-16     -0.66075
_SET1_   ENSG00000225446     1   91282316   91329843    105      14  313467       2.7311   0.00044612    4.4409e-16       2.7311
_SET1_   ENSG00000236098     1   94774035   94825125     70      10  313467      -1.7841      0.89575    4.4409e-16      -1.7841
_SET1_   ENSG00000228852     1   95698781   95764610    206      33  313467      0.41448      0.15284    3.8858e-16      0.41448
_SET1_   ENSG00000232878     1   97526479   97798511    713      62  313467       0.7121     0.066511    4.4409e-16       0.7121
_SET1_   ENSG00000226053     1   98641303   98748214    221      28  313467      -2.2553      0.94501    4.4409e-16      -2.2553
_SET1_   ENSG00000241073     1  100513546  100585027    152      17  313467      0.22544      0.24573    3.8858e-16      0.22544
_SET1_   ENSG00000273373     1  110877776  110925625     89      15  313467      0.75133      0.08795    4.4409e-16      0.75133
_SET1_   ENSG00000232811     1  111451089  111505470    182      12  313467      -1.1436      0.71976    4.4409e-16      -1.1436
_SET1_   ENSG00000272715     1  117441771  117487153    122       8  313467     -0.57592      0.56962    4.4409e-16     -0.57592
_SET1_   ENSG00000236137     1  117558104  117637112    223      32  313467       1.3147     0.027882    4.4409e-16       1.3147
_SET1_   ENSG00000236933     1  120825810  120873343      1       1  313467      0.37226      0.31569    3.8858e-16      0.37226
_SET1_   ENSG00000230806     1  121092017  121175666      2       1  313467    -0.016854      0.46389    3.8858e-16    -0.016854
_SET1_   ENSG00000269996     1  121098256  121144581      1       1  313467      -1.0559       0.8326    4.4409e-16      -1.0559
_SET1_   ENSG00000272583     1  121250164  121295627     13       5  313467      -1.2478      0.74968    4.4409e-16      -1.2478
_SET1_   ENSG00000234222     1  145465982  145543503     57      14  313467     -0.60955       0.5155    4.4409e-16     -0.60955
_SET1_   ENSG00000234283     1  147734014  147787855     78       8  313467      -1.1427      0.74033    4.4409e-16      -1.1427
_SET1_   ENSG00000237253     1  148563398  148609531      3       1  313467      0.80609      0.19355    4.4409e-16      0.80609
_SET1_   ENSG00000250734     1  151574514  151620839     54       9  313467      0.79339     0.084522    4.4409e-16      0.79339
_SET1_   ENSG00000227045     1  151638502  151690862     66       8  313467      0.44851      0.15631    3.8858e-16      0.44851
_SET1_   ENSG00000203288     1  151728280  151776878    121       9  313467     -0.28117      0.37255    3.8858e-16     -0.28117
_SET1_   ENSG00000269489     1  151735530  151781078    109       8  313467     -0.16892      0.33597    3.8858e-16     -0.16892
_SET1_   ENSG00000243613     1  153709327  153758703     76      13  313467      -1.3231      0.78633    4.4409e-16      -1.3231
_SET1_   ENSG00000233222     1  153713459  153759652     68      14  313467      -1.2507      0.76153    4.4409e-16      -1.2507
_SET1_   ENSG00000273026     1  153903992  153949406     59       8  313467      0.85016     0.079137    4.4409e-16      0.85016
_SET1_   ENSG00000232093     1  155007667  155053594     64      17  313467      0.59364      0.10972    4.4409e-16      0.59364
_SET1_   ENSG00000237390     1  156323018  156375401    104      20  313467     -0.65112       0.5013    4.4409e-16     -0.65112
_SET1_   ENSG00000227217     1  157626552  157676249    126      13  313467      -0.2802      0.36765    3.8858e-16      -0.2802
_SET1_   ENSG00000225670     1  159155775  159212763    171      29  313467      0.68509     0.098751    4.4409e-16      0.68509
_SET1_   ENSG00000224943     1  159401111  159463166    243      25  313467      -2.0262      0.92663    4.4409e-16      -2.0262
_SET1_   ENSG00000227741     1  160161989  160213659     59      12  313467       1.7623    0.0093191    4.4409e-16       1.7623
_SET1_   ENSG00000259788     1  162520017  162566098     79      14  313467      0.20038      0.21767    3.8858e-16      0.20038
_SET1_   ENSG00000233693     1  164728353  164778878    102      15  313467       1.0209     0.049815    4.4409e-16       1.0209
_SET1_   ENSG00000236206     1  165532700  165602568    285      19  313467       0.3207      0.17253    3.8858e-16       0.3207
_SET1_   ENSG00000236364     1  165855116  165904920     93      10  313467     -0.31344       0.3869    3.8858e-16     -0.31344
_SET1_   ENSG00000272205     1  167179068  167224749     74      11  313467       1.0889     0.057041    4.4409e-16       1.0889
_SET1_   ENSG00000228697     1  168360067  168426894    120      30  313467     -0.61125      0.49958    4.4409e-16     -0.61125
_SET1_   ENSG00000237658     1  168423452  168499882    225      19  313467     -0.66556      0.53988    4.4409e-16     -0.66556
_SET1_   ENSG00000235575     1  169244903  169301717    215      18  313467       1.1855     0.034409    4.4409e-16       1.1855
_SET1_   ENSG00000230630     1  172099461  172148934     98      11  313467     0.011618      0.27644    3.9031e-16     0.011618
_SET1_   ENSG00000238272     1  173489390  173591911    208      14  313467    -0.077631       0.3028    3.8858e-16    -0.077631
_SET1_   ENSG00000224977     1  173956647  174002123     88       6  313467       1.1589     0.059463    4.4409e-16       1.1589
_SET1_   ENSG00000228686     1  175951413  175997896    145      19  313467      0.81838     0.081772    4.4409e-16      0.81838
_SET1_   ENSG00000273062     1  178683441  178730420     92      14  313467       1.2709     0.034503    4.4409e-16       1.2709
_SET1_   ENSG00000236719     1  180493112  180545654    189      19  313467       1.1273     0.042018    4.4409e-16       1.1273
_SET1_   ENSG00000261504     1  182549389  182595764     82      15  313467      0.37753      0.16298    3.8858e-16      0.37753
_SET1_   ENSG00000224468     1  183097537  183145417    158      15  313467      -1.9529       0.9086    4.4409e-16      -1.9529
_SET1_   ENSG00000227554     1  183713553  183759072     97       8  313467      -2.0368      0.92564    4.4409e-16      -2.0368
_SET1_   ENSG00000231791     1  184263205  184311960    125      14  313467      0.29674      0.19365    3.8858e-16      0.29674
_SET1_   ENSG00000273004     1  185251911  185297662     48      10  313467      -1.4285      0.80037    4.4409e-16      -1.4285
_SET1_   ENSG00000261024     1  185280289  185339171     90      12  313467      -1.6863      0.86137    4.4409e-16      -1.6863
_SET1_   ENSG00000225811     1  190199028  190341400    249      19  313467       2.9087   0.00017531    4.4409e-16       2.9087
_SET1_   ENSG00000237457     1  190412681  190459865     90      13  313467      0.68295       0.1015    4.4409e-16      0.68295
_SET1_   ENSG00000234132     1  200969224  201022201    110      13  313467     -0.97722      0.65133    4.4409e-16     -0.97722
_SET1_   ENSG00000260021     1  202769366  202814957    129      14  313467      0.77507     0.099414    4.4409e-16      0.77507
_SET1_   ENSG00000229874     1  206125293  206172984      8       2  313467       2.1797    0.0078706    4.4409e-16       2.1797
_SET1_   ENSG00000237605     1  206797994  206843967     97      14  313467     -0.43275      0.42737    3.8858e-16     -0.43275
_SET1_   ENSG00000229258     1  211968188  212037045    208      26  313467       1.7641    0.0098682    4.4409e-16       1.7641
_SET1_   ENSG00000234915     1  212462837  212540055    181      20  313467     -0.90737       0.6146    4.4409e-16     -0.90737
_SET1_   ENSG00000228067     1  212684036  212739407    199      28  313467      -1.1544      0.70147    4.4409e-16      -1.1544
_SET1_   ENSG00000198468     1  213015450  213066430    302      12  313467      -1.3436      0.76016    4.4409e-16      -1.3436
_SET1_   ENSG00000232480     1  218507538  218554020     54       9  313467     -0.59255      0.53352    4.4409e-16     -0.59255
_SET1_   ENSG00000223842     1  219385590  219433839     82       8  313467      -0.8148       0.5917    4.4409e-16      -0.8148
_SET1_   ENSG00000225782     1  220825813  220871458    118      17  313467     -0.75226      0.59672    4.4409e-16     -0.75226
_SET1_   ENSG00000225265     1  222728167  222776374    115      13  313467      -2.1374       0.9446    4.4409e-16      -2.1374
_SET1_   ENSG00000272750     1  222822209  222869854     88      13  313467     -0.34864      0.43556    3.8858e-16     -0.34864
_SET1_   ENSG00000228106     1  222953364  223020726    215      23  313467      -1.6518      0.84846    4.4409e-16      -1.6518
_SET1_   ENSG00000233384     1  224792998  224838922    125      16  313467    0.0083132      0.26495    3.9031e-16    0.0083132
_SET1_   ENSG00000229400     1  224895206  224953364    124      24  313467       1.0499     0.048619    4.4409e-16       1.0499
_SET1_   ENSG00000225334     1  224919602  224971043    103      16  313467      0.87834     0.084498    4.4409e-16      0.87834
_SET1_   ENSG00000234478     1  226300704  226352772    124      19  313467      0.47792       0.1359    3.8858e-16      0.47792
_SET1_   ENSG00000233706     1  227144841  227190907    129      12  313467       3.0317   0.00013033    4.4409e-16       3.0317
_SET1_   ENSG00000270110     1  228473612  228525699    138      14  313467     -0.49292      0.45311    3.8858e-16     -0.49292
_SET1_   ENSG00000270104     1  228561815  228607717     79      10  313467     -0.17379      0.39869    3.8858e-16     -0.17379
_SET1_   ENSG00000227006     1  230384440  230439229    257      34  313467       1.5777     0.013559    4.4409e-16       1.5777
_SET1_   ENSG00000224037     1  234810135  234865723    191      26  313467     -0.21583      0.32968    3.8858e-16     -0.21583
_SET1_   ENSG00000273416     1  235257495  235302924     94      10  313467    -0.033469       0.3001    3.8858e-16    -0.033469
_SET1_   ENSG00000259776     1  239401108  239449118    144      11  313467     -0.44025      0.46843    3.8858e-16     -0.44025
_SET1_   ENSG00000233735     1  240331139  240377944    160      14  313467      -1.4351      0.79627    4.4409e-16      -1.4351
_SET1_   ENSG00000233519     1  240553971  240599423     85      16  313467     -0.64698      0.50642    4.4409e-16     -0.64698
_SET1_   ENSG00000227230     1  243264200  243313890     52       9  313467      0.81664     0.085863    4.4409e-16      0.81664
_SET1_   ENSG00000232085     1  243292940  243342747     47       9  313467      0.99174     0.058293    4.4409e-16      0.99174
_SET1_   ENSG00000236031     1  243673834  243721631     59      10  313467      0.27644       0.2107    3.8858e-16      0.27644
_SET1_   ENSG00000229960     1  244222122  244291328    197      29  313467      0.89425     0.067494    4.4409e-16      0.89425
_SET1_   ENSG00000273175     1  244993040  245038574     73       9  313467      -2.3071      0.96478    4.4409e-16      -2.3071
_SET1_   ENSG00000226876     1  246236928  246287168    265      13  313467      0.41718      0.16146    3.8858e-16      0.41718
_SET1_   ENSG00000235021     1  246818349  246865123    172      24  313467      0.35921      0.15525    3.8858e-16      0.35921
_SET1_   ENSG00000231173     2     706977     759856    208      11  313467      0.46412       0.1428    3.8858e-16      0.46412
_SET1_   ENSG00000232057     2    1793184    1842439    208      23  313467       0.3817      0.16175    3.8858e-16       0.3817
_SET1_   ENSG00000225619     2    2288004    2340882     80      12  313467       1.4798     0.022232    4.4409e-16       1.4798
_SET1_   ENSG00000224661     2    3740175    3786743    126      22  313467     -0.31617      0.37447    3.8858e-16     -0.31617
_SET1_   ENSG00000223884     2    7192858    7253011    217      22  313467      -1.0319      0.65205    4.4409e-16      -1.0319
_SET1_   ENSG00000240980     2    9248295    9296235    181      17  313467     -0.71942      0.54544    4.4409e-16     -0.71942
_SET1_   ENSG00000260077     2   10169219   10215790    143      21  313467       3.8335   4.0557e-06    4.4409e-16       3.8335
_SET1_   ENSG00000257135     2   10553820   10601453    133      15  313467      -1.4673      0.80343    4.4409e-16      -1.4673
_SET1_   ENSG00000224220     2   25608986   25660512     86      15  313467      -1.3996      0.78716    4.4409e-16      -1.3996
_SET1_   ENSG00000230046     2   32592699   32639667     92      12  313467       1.0216     0.066855    4.4409e-16       1.0216
_SET1_   ENSG00000227028     2   39978593   40492349   1956      77  313467      0.25738      0.14295    3.8858e-16      0.25738
_SET1_   ENSG00000236502     2   45157293   45204012    174      36  313467       1.1807     0.036104    4.4409e-16       1.1807
_SET1_   ENSG00000228481     2   45891840   45937615    108      24  313467     -0.80736      0.57591    4.4409e-16     -0.80736
_SET1_   ENSG00000226548     2   47069159   47115635    174      28  313467      0.54296      0.12193    4.4409e-16      0.54296
_SET1_   ENSG00000233845     2   47252418   47302663    192      26  313467      -1.3866      0.78579    4.4409e-16      -1.3866
_SET1_   ENSG00000226087     2   47417933   47476364    176      32  313467      -2.5413      0.97449    4.4409e-16      -2.5413
_SET1_   ENSG00000238018     2   54878148   54924929    155      21  313467      0.23098      0.19927    3.8858e-16      0.23098
_SET1_   ENSG00000240401     2   55500628   55583185    228      24  313467     -0.60073      0.51479    4.4409e-16     -0.60073
_SET1_   ENSG00000273063     2   58433484   58478821     96      16  313467       3.3662   4.6426e-05    4.4409e-16       3.3662
_SET1_   ENSG00000226605     2   63043199   63120573     97      17  313467       1.3808      0.02419    4.4409e-16       1.3808
_SET1_   ENSG00000231609     2   63261057   63310775     41      16  313467       2.3211    0.0019622    4.4409e-16       2.3211
_SET1_   ENSG00000228079     2   64303484   64350380    144      16  313467       1.0535     0.054772    4.4409e-16       1.0535
_SET1_   ENSG00000238201     2   64555201   64603781    111      16  313467     -0.62684      0.49366    4.4409e-16     -0.62684
_SET1_   ENSG00000233694     2   64799109   64853616    132      23  313467       2.6014   0.00062515    4.4409e-16       2.6014
_SET1_   ENSG00000226756     2   64836746   64883832     89      22  313467     -0.24908      0.36566    3.8858e-16     -0.24908
_SET1_   ENSG00000235885     2   67278578   67533207    847      62  313467      0.54419      0.08346    4.4409e-16      0.54419
_SET1_   ENSG00000235035     2   70879274   70928956    151      15  313467      -1.4493      0.80808    4.4409e-16      -1.4493
_SET1_   ENSG00000228384     2   71186573   71239884    142      25  313467        1.157     0.040553    4.4409e-16        1.157
_SET1_   ENSG00000225439     2   74340136   74387188    149      15  313467      -0.7073       0.5322    4.4409e-16      -0.7073
_SET1_   ENSG00000234653     2   77178091   77246917    332      15  313467      -0.3549      0.37886    3.8858e-16      -0.3549
_SET1_   ENSG00000228363     2   86754193   86855889    279      17  313467       3.2634   4.7461e-05    4.4409e-16       3.2634
_SET1_   ENSG00000225420     2   88803238   88885128    234      23  313467      0.24654      0.19969    3.8858e-16      0.24654
_SET1_   ENSG00000234028     2   88892057   88941339     58      11  313467      0.20194      0.21677    3.8858e-16      0.20194
_SET1_   ENSG00000235480     2   97183677   97233043     63      15  313467      -1.5573      0.83874    4.4409e-16      -1.5573
_SET1_   ENSG00000230393     2  100686381  100733966     76      10  313467      -0.3221      0.40255    3.8858e-16      -0.3221
_SET1_   ENSG00000223947     2  101600138  101653706    130      15  313467     -0.80397      0.57929    4.4409e-16     -0.80397
_SET1_   ENSG00000272902     2  101733122  101781872    144      17  313467      0.42477      0.15196    3.8858e-16      0.42477
_SET1_   ENSG00000227157     2  104992659  105042070    102      16  313467     -0.53639      0.50183    4.4409e-16     -0.53639
_SET1_   ENSG00000225765     2  105018685  105065466     89      12  313467     -0.86016       0.6156    4.4409e-16     -0.86016
_SET1_   ENSG00000231626     2  105187279  105233348     55      10  313467       0.3536      0.16753    3.8858e-16       0.3536
_SET1_   ENSG00000230690     2  105240795  105291295     72      11  313467       1.0684     0.052707    4.4409e-16       1.0684
_SET1_   ENSG00000228528     2  105285216  105331967     93      18  313467       2.6886   0.00057089    4.4409e-16       2.6886
_SET1_   ENSG00000235522     2  106452990  106508633    128      19  313467     -0.71336      0.55317    4.4409e-16     -0.71336
_SET1_   ENSG00000233339     2  106760998  106810253    106      20  313467      0.37464      0.18398    3.8858e-16      0.37464
_SET1_   ENSG00000231536     2  111333493  111379981      1       1  313467       1.1302       0.1104    4.4409e-16       1.1302
_SET1_   ENSG00000234199     2  114702146  114774879    209      23  313467      -1.7237       0.8703    4.4409e-16      -1.7237
_SET1_   ENSG00000272769     2  133093189  133139870     49       5  313467     -0.62898      0.54136    4.4409e-16     -0.62898
_SET1_   ENSG00000257284     2  143909647  143964741    134       9  313467     -0.84714      0.61555    4.4409e-16     -0.84714
_SET1_   ENSG00000257640     2  144043155  144364674    794      51  313467       2.4398     0.000494    4.4409e-16       2.4398
_SET1_   ENSG00000258268     2  144266436  144390571    308      22  313467     0.023657      0.24112    3.8858e-16     0.023657
_SET1_   ENSG00000231758     2  144388325  144448748     98      18  313467      -3.1261       0.9941    4.4409e-16      -3.1261
_SET1_   ENSG00000257277     2  144423734  144533863    147      28  313467     -0.82868       0.5857    4.4409e-16     -0.82868
_SET1_   ENSG00000257226     2  144514189  144568642     89      17  313467       1.7683    0.0091183    4.4409e-16       1.7683
_SET1_   ENSG00000236356     2  144522036  144587168    148      15  313467       1.2568     0.030511    4.4409e-16       1.2568
_SET1_   ENSG00000232377     2  144659640  144731723    130      30  313467     -0.29707      0.39395    3.8858e-16     -0.29707
_SET1_   ENSG00000238057     2  145240664  145289058     62      15  313467      0.22831      0.23785    3.8858e-16      0.22831
_SET1_   ENSG00000224612     2  154018501  154093240    268      21  313467       1.0853     0.041931    4.4409e-16       1.0853
_SET1_   ENSG00000227480     2  158988162  159102681    386      37  313467     -0.48427      0.42255    3.8858e-16     -0.48427
_SET1_   ENSG00000204380     2  159504849  159626514    433      40  313467      0.50556      0.11181    4.4409e-16      0.50556
_SET1_   ENSG00000223642     2  160207878  160271147    210      22  313467     -0.49877       0.4701    3.8858e-16     -0.49877
_SET1_   ENSG00000227403     2  162066250  162115561     59      13  313467       1.8842    0.0081024    4.4409e-16       1.8842
_SET1_   ENSG00000235724     2  162069296  162146179     98      18  313467       1.9996    0.0056428    4.4409e-16       1.9996
_SET1_   ENSG00000237750     2  163590446  163664482    154      22  313467       1.0767     0.051549    4.4409e-16       1.0767
_SET1_   ENSG00000235192     2  166616361  166676520    101      16  313467      0.79056      0.08219    4.4409e-16      0.79056
_SET1_   ENSG00000227617     2  169618463  169678471    151      28  313467       1.0115     0.052527    4.4409e-16       1.0115
_SET1_   ENSG00000224638     2  174735593  174799156    202      20  313467     0.090684      0.25397    3.8858e-16     0.090684
_SET1_   ENSG00000236449     2  175376869  175649555    541      57  313467     -0.94459      0.58319    4.4409e-16     -0.94459
_SET1_   ENSG00000236153     2  181834154  181879817    162       7  313467      -1.0426      0.69228    4.4409e-16      -1.0426
_SET1_   ENSG00000238171     2  181930778  182005695    224      20  313467      -1.2352      0.72763    4.4409e-16      -1.2352
_SET1_   ENSG00000224643     2  183938133  184008247    295      20  313467        1.647     0.012217    4.4409e-16        1.647
_SET1_   ENSG00000235852     2  191735523  191781785     56      10  313467       1.1568     0.043592    4.4409e-16       1.1568
_SET1_   ENSG00000233766     2  192676265  192918909    406      50  313467       2.8415   0.00026546    4.4409e-16       2.8415
_SET1_   ENSG00000231621     2  198027715  198073997    118      11  313467     -0.98899      0.67689    4.4409e-16     -0.98899
_SET1_   ENSG00000225421     2  199407919  199672080    456      29  313467      0.49001      0.10491    3.8858e-16      0.49001
_SET1_   ENSG00000257045     2  200155033  200204085     67       8  313467       3.1318   0.00015072    4.4409e-16       3.1318
_SET1_   ENSG00000225953     2  200287423  200351658     62      12  313467       3.2575   7.0309e-05    4.4409e-16       3.2575
_SET1_   ENSG00000260006     2  201654396  201702061     76       9  313467     0.066051      0.26484    3.8858e-16     0.066051
_SET1_   ENSG00000273456     2  203229655  203275327     64      12  313467       1.6555     0.013359    4.4409e-16       1.6555
_SET1_   ENSG00000225610     2  206819309  206875582    221      28  313467       2.3448    0.0013423    4.4409e-16       2.3448
_SET1_   ENSG00000228577     2  207461221  207509536     96      22  313467       1.4087     0.022105    4.4409e-16       1.4087
_SET1_   ENSG00000225064     2  208090169  208145414    162      27  313467      0.79061     0.080064    4.4409e-16      0.79061
_SET1_   ENSG00000223725     2  208094588  208429519    804      53  313467       1.4108     0.011953    4.4409e-16       1.4108
_SET1_   ENSG00000272851     2  208608596  208654159     87      12  313467     -0.34439      0.42321    3.8858e-16     -0.34439
_SET1_   ENSG00000231908     2  209084971  209130905    103      19  313467     -0.75358      0.60983    4.4409e-16     -0.75358
_SET1_   ENSG00000197585     2  215104764  215583970   1389      55  313467       4.8247   7.2757e-09             0       4.8247
_SET1_   ENSG00000231092     2  217089318  217140853    127      12  313467      0.28737      0.20933    3.8858e-16      0.28737
_SET1_   ENSG00000233581     2  217133048  217196460    169      20  313467     -0.49957      0.44566    3.8858e-16     -0.49957
_SET1_   ENSG00000225794     2  217434494  217485925     94      22  313467       0.3426      0.16898    3.8858e-16       0.3426
_SET1_   ENSG00000224391     2  217445149  217506661    103      26  313467     -0.94564      0.63262    4.4409e-16     -0.94564
_SET1_   ENSG00000236295     2  217725164  217773655    142      22  313467      -1.7908      0.87987    4.4409e-16      -1.7908
_SET1_   ENSG00000269068     2  220388805  220434348    102      13  313467       0.6647     0.098042    4.4409e-16       0.6647
_SET1_   ENSG00000268896     2  220401933  220447380    112      16  313467      0.76801     0.079364    4.4409e-16      0.76801
