# ALPHA = 0.05
# NUMBER_OF_TESTS = 84

# _SET1_  VARIABLE = L4_RORB_LRRK1 (set)
# _SET1_  NGENES = 1321
# _SET1_  P-VALUE = 1.87218e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000187583     1     866877     921245    151      23  313467      0.40342      0.17213    1.6653e-16      0.40342
_SET1_   ENSG00000188157     1     920503    1001496    235      21  313467       1.2098     0.033168    2.2204e-16       1.2098
_SET1_   ENSG00000186891     1    1128888    1177071    208      14  313467     -0.50476      0.51769    1.1102e-16     -0.50476
_SET1_   ENSG00000186827     1    1136706    1184518    196      12  313467     -0.52928      0.54384    1.1102e-16     -0.52928
_SET1_   ENSG00000131584     1    1217756    1279989    156      17  313467     -0.57034      0.58642    1.1102e-16     -0.57034
_SET1_   ENSG00000269554     1    2086237    2133179     92      13  313467      0.84038     0.079956    1.1102e-16      0.84038
_SET1_   ENSG00000158109     1    3506566    3556691    199      32  313467     -0.98817      0.63952    1.1102e-16     -0.98817
_SET1_   ENSG00000069424     1    6016526    6171253    436      53  313467      0.55268     0.095831    1.1102e-16      0.55268
_SET1_   ENSG00000116254     1    6151853    6275183    365      37  313467      0.35204      0.14608    1.6653e-16      0.35204
_SET1_   ENSG00000097021     1    6314329    6489451    534      21  313467     -0.62347      0.48673    1.1102e-16     -0.62347
_SET1_   ENSG00000142621     1   15538768   15736779    667      65  313467       1.0964     0.022181    2.2204e-16       1.0964
_SET1_   ENSG00000142634     1   15701391   15766839    179      25  313467       1.3754     0.025551    2.2204e-16       1.3754
_SET1_   ENSG00000162461     1   16027900   16077891    140      15  313467       1.7988    0.0089866    2.2204e-16       1.7988
_SET1_   ENSG00000162460     1   16033917   16084477    139      16  313467       1.7002     0.011356    2.2204e-16       1.7002
_SET1_   ENSG00000132881     1   16548195   16598657    101       9  313467      -1.6761        0.868    2.2204e-16      -1.6761
_SET1_   ENSG00000117154     1   18399240   18714977   1044     119  313467      0.97901     0.020799    1.1102e-16      0.97901
_SET1_   ENSG00000009709     1   18922500   19085360    457      63  313467      0.61335     0.086795    1.1102e-16      0.61335
_SET1_   ENSG00000183114     1   20843932   20891512    159      21  313467      0.81317     0.077676    1.1102e-16      0.81317
_SET1_   ENSG00000189410     1   21036225   21094330    169      23  313467       4.1165   1.0962e-06             0       4.1165
_SET1_   ENSG00000162551     1   21800858   21914905    455      46  313467     -0.61956      0.43913    1.1102e-16     -0.61956
_SET1_   ENSG00000076864     1   21912708   22030801    419      60  313467      0.52952       0.1073    1.1102e-16      0.52952
_SET1_   ENSG00000127423     1   26148414   26220903    136       8  313467      -1.5918      0.84777    2.2204e-16      -1.5918
_SET1_   ENSG00000158008     1   26311375   26372955    107      12  313467     -0.13546      0.33351    1.6653e-16     -0.13546
_SET1_   ENSG00000175707     1   27266053   27321897     61       7  313467      0.89695     0.097662    1.1102e-16      0.89695
_SET1_   ENSG00000090020     1   27415306   27528472    188       7  313467      -1.2072      0.73838    2.2204e-16      -1.2072
_SET1_   ENSG00000181773     1   27684148   27732318     63      14  313467     -0.71504      0.58083    1.1102e-16     -0.71504
_SET1_   ENSG00000142748     1   27685603   27736315     62      13  313467     -0.65569      0.56071    1.1102e-16     -0.65569
_SET1_   ENSG00000174950     1   27695666   27744870     52       7  313467     -0.35891      0.47342    1.6653e-16     -0.35891
_SET1_   ENSG00000188060     1   28883712   28931955     73      14  313467      0.70204      0.10397    1.1102e-16      0.70204
_SET1_   ENSG00000121753     1   32182718   32265494     73      14  313467       2.2528    0.0027766             0       2.2528
_SET1_   ENSG00000121905     1   33316595   33374042     68      14  313467     -0.14008      0.34159    1.6653e-16     -0.14008
_SET1_   ENSG00000160097     1   33317869   33373083     65      13  313467    -0.074486      0.31898    1.6653e-16    -0.074486
_SET1_   ENSG00000142920     1   33511705   33596131    117      12  313467       0.6062      0.12638    1.1102e-16       0.6062
_SET1_   ENSG00000116544     1   35321037   35430186    134      28  313467       -1.693      0.86123    2.2204e-16       -1.693
_SET1_   ENSG00000092853     1   36175819   36270568    129      12  313467       1.7888     0.014805    2.2204e-16       1.7888
_SET1_   ENSG00000196182     1   36795225   36886497    212      19  313467     -0.78753      0.55972    1.1102e-16     -0.78753
_SET1_   ENSG00000163873     1   37251128   37534730    576      52  313467       2.7468   0.00018591             0       2.7468
_SET1_   ENSG00000204060     1   41792594   41859262    202      29  313467      0.12872      0.21375    1.6653e-16      0.12872
_SET1_   ENSG00000159214     1   44422031   44472200     82      13  313467      -0.4988      0.51001    1.6653e-16      -0.4988
_SET1_   ENSG00000171357     1   46634006   46696933     82      15  313467     -0.10091      0.32015    1.6653e-16     -0.10091
_SET1_   ENSG00000085999     1   46678360   46754145     76      14  313467     -0.31702      0.42244    1.6653e-16     -0.31702
_SET1_   ENSG00000187048     1   47384849   47442156    122      10  313467      -1.1693      0.74685    2.2204e-16      -1.1693
_SET1_   ENSG00000186160     1   47498160   47593991    253       6  313467     -0.12327      0.33031    1.6653e-16     -0.12327
_SET1_   ENSG00000162365     1   47568107   47625413    208       8  313467     -0.78552      0.58132    1.1102e-16     -0.78552
