# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT  ZFITTED_BASE  ZRESID_BASE
ENSG00000237491    1     679150     755440      2       1  534346       0.2063    5.2736e-16       0.2063
ENSG00000177757    1     717751     765214      2       1  534346       0.2063    5.2736e-16       0.2063
ENSG00000230092    1     726259     780541      4       1  563691      0.10793    5.2736e-16      0.10793
ENSG00000228794    1     727988     804826      9       2  559164       0.7374    5.5511e-16       0.7374
ENSG00000240453    1     735489     788092      6       1  570527      0.07758    5.2736e-16      0.07758
ENSG00000225880    1     751586     797902      6       1  570527      0.07758    5.2736e-16      0.07758
ENSG00000234711    1     773672     819729      7       2  566255      0.79947    5.5511e-16      0.79947
ENSG00000230368    1     793451     847283      3       1  536438       1.5992    4.4409e-16       1.5992
ENSG00000242590    1     955413    1001496      2       1  614406      -1.1732    4.4409e-16      -1.1732
ENSG00000217801    1     960114    1014735      4       2  636161    -0.072316    5.2736e-16    -0.072316
ENSG00000273443    1     987588    1033668     16       4  649198      0.24171    5.2736e-16      0.24171
ENSG00000223823    1    1037397    1089436     21       6  627506     -0.55428    5.5511e-16     -0.55428
ENSG00000207730    1    1067484    1112578      9       3  625873      0.22686    5.2736e-16      0.22686
ENSG00000207607    1    1068243    1113332     10       4  620279      0.17604    5.2736e-16      0.17604
ENSG00000198976    1    1069385    1114467     10       4  620279      0.17604    5.2736e-16      0.17604
ENSG00000272141    1    1069737    1115723     10       4  620279      0.17604    5.2736e-16      0.17604
ENSG00000205231    1    1098436    1149935     16       5  651152      -1.0447    4.4409e-16      -1.0447
ENSG00000260179    1    1175157    1221714     14       4  663774     -0.76932    5.5511e-16     -0.76932
ENSG00000230415    1    1175603    1225800     14       4  663774     -0.76932    5.5511e-16     -0.76932
ENSG00000240731    1    1242961    1289069      2       1  624568     -0.76403    5.5511e-16     -0.76403
ENSG00000223663    1    1279046    1324412      3       2  628748      0.16167    5.2736e-16      0.16167
ENSG00000272455    1    1309476    1355998      2       1  642898      -1.0089    4.4409e-16      -1.0089
ENSG00000236684    1    1480136    1525379     12       1  677520      -2.4318    4.4409e-16      -2.4318
ENSG00000215791    1    1487726    1534904     10       1  677025      -2.3982    4.4409e-16      -2.3982
ENSG00000231050    1    1787910    1834097     13       3  662817       4.9351    8.8818e-16       4.9351
ENSG00000226969    1    1970642    2016509      2       1  577809      -1.3104    4.4409e-16      -1.3104
ENSG00000271806    1    2062523    2111718     33       4  684001      0.19816    5.2736e-16      0.19816
ENSG00000182873    1    2103233    2150828     14       3  689115    -0.063788    5.2736e-16    -0.063788
ENSG00000234396    1    2108962    2162177     14       3  688609    -0.010047    5.2389e-16    -0.010047
ENSG00000243558    1    2133610    2179013     13       3  679081      0.24062    5.2736e-16      0.24062
ENSG00000272161    1    2247640    2293132     45       9  680558     -0.30598     4.996e-16     -0.30598
ENSG00000269896    1    2271853    2319259     55      12  670549     -0.23301    5.2736e-16     -0.23301
ENSG00000238240    1    2273083    2318296     54      12  670986     -0.21426    5.2736e-16     -0.21426
ENSG00000178642    1    2281811    2329922     59      14  667438    -0.074893    5.2736e-16    -0.074893
ENSG00000272420    1    2284500    2330067     48      14  662785     0.077502    5.2736e-16     0.077502
ENSG00000271921    1    2296292    2341792     33      11  657193     -0.13356    5.2736e-16     -0.13356
ENSG00000271847    1    2299056    2344799     33      11  657193     -0.13356    5.2736e-16     -0.13356
ENSG00000224387    1    2413739    2459697     23       4  682403       4.2889    8.8818e-16       4.2889
ENSG00000229393    1    2414876    2460918     23       4  682403       4.2889    8.8818e-16       4.2889
ENSG00000272449    1    2442904    2488899     12       3  647107       4.6734    8.8818e-16       4.6734
ENSG00000225931    1    2462849    2511327      9       3  648403       5.0856    8.8818e-16       5.0856
ENSG00000238164    1    2471359    2523470     15       3  665032       5.1111    8.8818e-16       5.1111
ENSG00000228037    1    2477999    2525972     17       3  686746       4.7817    8.8818e-16       4.7817
ENSG00000237058    1    2529007    2578059     16       2  683132        2.168    4.4409e-16        2.168
ENSG00000233234    1    2718415    2764257     25       5  683107       5.5147    8.8818e-16       5.5147
ENSG00000231630    1    2720997    2766563     25       5  683107       5.5147    8.8818e-16       5.5147
ENSG00000177133    1    2966179    3020001     18       6  657067      0.45519     4.996e-16      0.45519
ENSG00000256761    1    2968523    3013959     17       6  655141      0.39767     4.996e-16      0.39767
ENSG00000226286    1    3039491    3085273     16       6  666209      -2.6503    4.4409e-16      -2.6503
ENSG00000272235    1    3213200    3261660     59       9  685570      -1.9833    4.4409e-16      -1.9833
ENSG00000272088    1    3368810    3414191     23       4  674467     -0.92011    5.5511e-16     -0.92011
ENSG00000207776    1    3467259    3512354     15       5  609081      0.92394    5.5511e-16      0.92394
ENSG00000238260    1    3529754    3576307     20       5  648312      -1.1686    4.4409e-16      -1.1686
ENSG00000227589    1    3565502    3620336     19       8  627395     -0.33127     4.996e-16     -0.33127
ENSG00000235131    1    3618764    3665862     26       8  651242       -1.466    4.4409e-16       -1.466
ENSG00000227372    1    3642548    3698900     46      12  681662      -1.1007    4.4409e-16      -1.1007
ENSG00000266075    1    3664379    3709673     47      12  680171     -0.75709    5.5511e-16     -0.75709
ENSG00000272153    1    3666572    3712102     48      12  680440     -0.61789    5.5511e-16     -0.61789
ENSG00000264428    1    3765628    3810697     26       9  666734     -0.54971    5.5511e-16     -0.54971
ENSG00000236423    1    3781936    3843789     39       6  676414      0.19759    5.2736e-16      0.19759
ENSG00000233304    1    3965673    4025322     33       8  655798      -2.1655    4.4409e-16      -2.1655
ENSG00000226374    1    3997209    4044040     52      11  669499      -1.6087    4.4409e-16      -1.6087
ENSG00000229280    1    4225588    4270959     46       9  676713     -0.25868     4.996e-16     -0.25868
ENSG00000235054    1    4437111    4494747    132      14  677222     -0.91796    5.5511e-16     -0.91796
ENSG00000232596    1    4596608    4653481     99      14  681400      0.64824    5.5511e-16      0.64824
ENSG00000227169    1    4601795    4647205     60      12  681015       1.2476    4.4409e-16       1.2476
ENSG00000231510    1    5136519    5185959     55      11  678002      -3.1039    4.4409e-16      -3.1039
ENSG00000260972    1    5518038    5564734     52       9  682158     -0.40326     4.996e-16     -0.40326
ENSG00000264341    1    5589131    5634203     66       7  678030      -1.7611    4.4409e-16      -1.7611
ENSG00000236948    1    5637428    5763355    168      37  675917      0.42317     4.996e-16      0.42317
ENSG00000216045    1    5865931    5911019     41       6  677058       -1.613    4.4409e-16       -1.613
ENSG00000264101    1    5912732    5957801     66       9  687306     -0.44467     4.996e-16     -0.44467
ENSG00000266687    1    5943899    5988984     45       6  688427      -1.3456    4.4409e-16      -1.3456
ENSG00000226944    1    6254900    6300840     15       4  676888     0.042648    5.2736e-16     0.042648
ENSG00000225077    1    6261300    6309504     17       4  672923      0.77313    5.5511e-16      0.77313
ENSG00000271746    1    6418615    6464451     13       2  689029      -1.2128    4.4409e-16      -1.2128
ENSG00000265392    1    6479894    6524956      7       2  690075      -2.4911    4.4409e-16      -2.4911
ENSG00000231868    1    6493094    6542066      8       2  683253      -2.2335    4.4409e-16      -2.2335
ENSG00000253022    1    6565914    6611024     37       3  689403       2.7019    4.4409e-16       2.7019
ENSG00000229519    1    6572965    6618679     35       2  691742       2.5476    4.4409e-16       2.5476
ENSG00000228750    1    6749697    6800072     25       5  691592        2.856    4.4409e-16        2.856
ENSG00000237436    1    6833952    6879903     26       5  688292      0.22033    5.2736e-16      0.22033
ENSG00000227950    1    6884393    6929678     31       8  688355       1.8213    4.4409e-16       1.8213
ENSG00000237365    1    7058436    7109339     74      10  686617       2.2498    4.4409e-16       2.2498
ENSG00000207056    1    7244420    7289584     23       4  679414      0.86341    5.5511e-16      0.86341
ENSG00000237402    1    7394003    7440331     59       7  687085       1.0658    4.4409e-16       1.0658
ENSG00000237728    1    7432548    7484814     59       8  686054        1.087    4.4409e-16        1.087
ENSG00000225126    1    7491156    7536614     80      14  679194     -0.35392     4.996e-16     -0.35392
ENSG00000270171    1    7743184    7789904     28       6  680335       2.6315    4.4409e-16       2.6315
ENSG00000270035    1    7748363    7793932     28       6  683642       2.3787    4.4409e-16       2.3787
ENSG00000269978    1    7750764    7796030     28       6  683567       2.4104    4.4409e-16       2.4104
