# ALPHA = 0.05
# NUMBER_OF_TESTS = 84

# _SET1_  VARIABLE = CGE_dev (set)
# _SET1_  NGENES = 1639
# _SET1_  P-VALUE = 0.000568262
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000272438     1     805214     861356    128      16  161405      0.89468     0.038157   -5.5511e-16      0.89468
_SET1_   ENSG00000223823     1    1037397    1089436    197      21  161405       -1.421      0.70521   -4.4409e-16       -1.421
_SET1_   ENSG00000215014     1    1475355    1521373    145      16  161405          1.3     0.015885   -4.4409e-16          1.3
_SET1_   ENSG00000269737     1    1568429    1614850     56      11  161405      0.99394       0.0314   -5.5511e-16      0.99394
_SET1_   ENSG00000231050     1    1787910    1834097     58      10  161405       1.7037     0.005629   -4.4409e-16       1.7037
_SET1_   ENSG00000178821     1    1839029    1885712    154      13  161405       1.6434    0.0055631   -4.4409e-16       1.6434
_SET1_   ENSG00000238260     1    3529754    3576307    135      21  161405       1.0267     0.026468   -4.4409e-16       1.0267
_SET1_   ENSG00000237365     1    7058436    7109339    202      28  161405     -0.71859       0.4041   -5.5511e-16     -0.71859
_SET1_   ENSG00000142599     1    8402457    8912702    748      29  161405       3.8907   6.1068e-08   -4.4409e-16       3.8907
_SET1_   ENSG00000232912     1    8449705    8504898     78      10  161405       5.3624   2.6948e-10   -8.8818e-16       5.3624
_SET1_   ENSG00000226849     1   11093528   11143154    137      10  161405     -0.47037       0.3894   -5.5511e-16     -0.47037
_SET1_   ENSG00000116663     1   11689181   11744411    172      36  161405      -1.4789      0.70248   -4.4409e-16      -1.4789
_SET1_   ENSG00000162490     1   11716786   11795914    234      46  161405     0.088056      0.13371   -5.5511e-16     0.088056
_SET1_   ENSG00000179743     1   16150560   16209642    121      18  161405      -1.2517      0.64831   -4.4409e-16      -1.2517
_SET1_   ENSG00000272426     1   17220834   17266271     63      10  161405     0.088576      0.20462   -5.5511e-16     0.088576
_SET1_   ENSG00000117122     1   17290997   17342330    112      18  161405      0.98329     0.029483   -5.5511e-16      0.98329
_SET1_   ENSG00000117148     1   18046808   18163558    296      29  161405      -1.2089      0.57282   -4.4409e-16      -1.2089
_SET1_   ENSG00000203394     1   21034480   21080455    133      22  161405       2.0565    0.0015126   -4.4409e-16       2.0565
