ID,Gene Name,Species
ENSG00000113161,3-hydroxy-3-methylglutaryl-CoA reductase(HMGCR),Homo sapiens
ENSG00000183044,4-aminobutyrate aminotransferase(ABAT),Homo sapiens
ENSG00000178394,5-hydroxytryptamine receptor 1A(HTR1A),Homo sapiens
ENSG00000135312,5-hydroxytryptamine receptor 1B(HTR1B),Homo sapiens
ENSG00000179546,5-hydroxytryptamine receptor 1D(HTR1D),Homo sapiens
ENSG00000102468,5-hydroxytryptamine receptor 2A(HTR2A),Homo sapiens
ENSG00000135914,5-hydroxytryptamine receptor 2B(HTR2B),Homo sapiens
ENSG00000147246,5-hydroxytryptamine receptor 2C(HTR2C),Homo sapiens
ENSG00000166736,5-hydroxytryptamine receptor 3A(HTR3A),Homo sapiens
ENSG00000149305,5-hydroxytryptamine receptor 3B(HTR3B),Homo sapiens
ENSG00000178084,5-hydroxytryptamine receptor 3C(HTR3C),Homo sapiens
ENSG00000186090,5-hydroxytryptamine receptor 3D(HTR3D),Homo sapiens
ENSG00000186038,5-hydroxytryptamine receptor 3E(HTR3E),Homo sapiens
ENSG00000164270,5-hydroxytryptamine receptor 4(HTR4),Homo sapiens
ENSG00000148680,5-hydroxytryptamine receptor 7(HTR7),Homo sapiens
ENSG00000023516,A-kinase anchoring protein 11(AKAP11),Homo sapiens
ENSG00000131016,A-kinase anchoring protein 12(AKAP12),Homo sapiens
ENSG00000170776,A-kinase anchoring protein 13(AKAP13),Homo sapiens
ENSG00000151320,A-kinase anchoring protein 6(AKAP6),Homo sapiens
ENSG00000127914,A-kinase anchoring protein 9(AKAP9),Homo sapiens
ENSG00000097007,"ABL proto-oncogene 1, non-receptor tyrosine kinase(ABL1)",Homo sapiens
ENSG00000104755,ADAM metallopeptidase domain 2(ADAM2),Homo sapiens
ENSG00000145536,ADAM metallopeptidase with thrombospondin type 1 motif 16(ADAMTS16),Homo sapiens
ENSG00000168374,ADP ribosylation factor 4(ARF4),Homo sapiens
ENSG00000144746,ADP ribosylation factor like GTPase 6 interacting protein 5(ARL6IP5),Homo sapiens
ENSG00000113966,ADP ribosylation factor like GTPase 6(ARL6),Homo sapiens
ENSG00000155966,ALF transcription elongation factor 2(AFF2),Homo sapiens
ENSG00000198691,ATP binding cassette subfamily A member 4(ABCA4),Homo sapiens
ENSG00000064687,ATP binding cassette subfamily A member 7(ABCA7),Homo sapiens
ENSG00000091262,ATP binding cassette subfamily C member 6(ABCC6),Homo sapiens
ENSG00000006071,ATP binding cassette subfamily C member 8(ABCC8),Homo sapiens
ENSG00000069431,ATP binding cassette subfamily C member 9(ABCC9),Homo sapiens
ENSG00000118777,ATP binding cassette subfamily G member 2 (JR blood group)(ABCG2),Homo sapiens
ENSG00000138075,ATP binding cassette subfamily G member 5(ABCG5),Homo sapiens
ENSG00000143921,ATP binding cassette subfamily G member 8(ABCG8),Homo sapiens
ENSG00000150756,ATP synthase c subunit lysine N-methyltransferase(ATPSCKMT),Homo sapiens
ENSG00000135049,ATP/GTP binding carboxypeptidase 1(AGTPBP1),Homo sapiens
ENSG00000105929,ATPase H+ transporting V0 subunit a4(ATP6V0A4),Homo sapiens
ENSG00000116039,ATPase H+ transporting V1 subunit B1(ATP6V1B1),Homo sapiens
ENSG00000182220,ATPase H+ transporting accessory protein 2(ATP6AP2),Homo sapiens
ENSG00000163399,ATPase Na+/K+ transporting subunit alpha 1(ATP1A1),Homo sapiens
ENSG00000018625,ATPase Na+/K+ transporting subunit alpha 2(ATP1A2),Homo sapiens
ENSG00000105409,ATPase Na+/K+ transporting subunit alpha 3(ATP1A3),Homo sapiens
ENSG00000143153,ATPase Na+/K+ transporting subunit beta 1(ATP1B1),Homo sapiens
ENSG00000129244,ATPase Na+/K+ transporting subunit beta 2(ATP1B2),Homo sapiens
ENSG00000138138,ATPase family AAA domain containing 1(ATAD1),Homo sapiens
ENSG00000124406,ATPase phospholipid transporting 8A1(ATP8A1),Homo sapiens
ENSG00000132932,ATPase phospholipid transporting 8A2(ATP8A2),Homo sapiens
ENSG00000081923,ATPase phospholipid transporting 8B1(ATP8B1),Homo sapiens
ENSG00000070961,ATPase plasma membrane Ca2+ transporting 1(ATP2B1),Homo sapiens
ENSG00000157087,ATPase plasma membrane Ca2+ transporting 2(ATP2B2),Homo sapiens
ENSG00000067842,ATPase plasma membrane Ca2+ transporting 3(ATP2B3),Homo sapiens
ENSG00000058668,ATPase plasma membrane Ca2+ transporting 4(ATP2B4),Homo sapiens
ENSG00000196296,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1(ATP2A1),Homo sapiens
ENSG00000174437,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2(ATP2A2),Homo sapiens
ENSG00000074370,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3(ATP2A3),Homo sapiens
ENSG00000157764,"B-Raf proto-oncogene, serine/threonine kinase(BRAF)",Homo sapiens
ENSG00000171791,BCL2 apoptosis regulator(BCL2),Homo sapiens
ENSG00000186716,BCR activator of RhoGEF and GTPase(BCR),Homo sapiens
ENSG00000078725,BMP/retinoic acid inducible neural specific 1(BRINP1),Homo sapiens
ENSG00000160469,BR serine/threonine kinase 1(BRSK1),Homo sapiens
ENSG00000183826,BTB domain containing 9(BTBD9),Homo sapiens
ENSG00000159388,BTG anti-proliferation factor 2(BTG2),Homo sapiens
ENSG00000125492,BarH like homeobox 1(BARHL1),Homo sapiens
ENSG00000174483,Bardet-Biedl syndrome 1(BBS1),Homo sapiens
ENSG00000179941,Bardet-Biedl syndrome 10(BBS10),Homo sapiens
ENSG00000125124,Bardet-Biedl syndrome 2(BBS2),Homo sapiens
ENSG00000140463,Bardet-Biedl syndrome 4(BBS4),Homo sapiens
ENSG00000163093,Bardet-Biedl syndrome 5(BBS5),Homo sapiens
ENSG00000138686,Bardet-Biedl syndrome 7(BBS7),Homo sapiens
ENSG00000122507,Bardet-Biedl syndrome 9(BBS9),Homo sapiens
ENSG00000172156,C-C motif chemokine ligand 11(CCL11),Homo sapiens
ENSG00000108691,C-C motif chemokine ligand 2(CCL2),Homo sapiens
ENSG00000121807,C-C motif chemokine receptor 2(CCR2),Homo sapiens
ENSG00000169245,C-X-C motif chemokine ligand 10(CXCL10),Homo sapiens
ENSG00000107562,C-X-C motif chemokine ligand 12(CXCL12),Homo sapiens
ENSG00000180871,C-X-C motif chemokine receptor 2(CXCR2),Homo sapiens
ENSG00000121966,C-X-C motif chemokine receptor 4(CXCR4),Homo sapiens
ENSG00000168329,C-X3-C motif chemokine receptor 1(CX3CR1),Homo sapiens
ENSG00000132693,C-reactive protein(CRP),Homo sapiens
ENSG00000173918,C1q and TNF related 1(C1QTNF1),Homo sapiens
ENSG00000082196,C1q and TNF related 3(C1QTNF3),Homo sapiens
ENSG00000198535,C2 calcium dependent domain containing 4A(C2CD4A),Homo sapiens
ENSG00000205502,C2 calcium dependent domain containing 4B(C2CD4B),Homo sapiens
ENSG00000164326,CART prepropeptide(CARTPT),Homo sapiens
ENSG00000003402,CASP8 and FADD like apoptosis regulator(CFLAR),Homo sapiens
ENSG00000172216,CCAAT enhancer binding protein beta(CEBPB),Homo sapiens
ENSG00000174059,CD34 molecule(CD34),Homo sapiens
ENSG00000135218,CD36 molecule(CD36),Homo sapiens
ENSG00000004468,CD38 molecule(CD38),Homo sapiens
ENSG00000079385,CEA cell adhesion molecule 1(CEACAM1),Homo sapiens
ENSG00000213892,"CEA cell adhesion molecule 16, tectorial membrane component(CEACAM16)",Homo sapiens
ENSG00000188419,CHM Rab escort protein(CHM),Homo sapiens
ENSG00000166664,CHRNA7 (exons 5-10) and FAM7A (exons A-E) fusion(CHRFAM7A),Homo sapiens
ENSG00000188603,"CLN3 lysosomal/endosomal transmembrane protein, battenin(CLN3)",Homo sapiens
ENSG00000102805,CLN5 intracellular trafficking protein(CLN5),Homo sapiens
ENSG00000128973,CLN6 transmembrane ER protein(CLN6),Homo sapiens
ENSG00000182372,CLN8 transmembrane ER and ERGIC protein(CLN8),Homo sapiens
ENSG00000122218,COPI coat complex subunit alpha(COPA),Homo sapiens
ENSG00000105662,CREB regulated transcription coactivator 1(CRTC1),Homo sapiens
ENSG00000060069,CTD phosphatase subunit 1(CTDP1),Homo sapiens
ENSG00000183117,CUB and Sushi multiple domains 1(CSMD1),Homo sapiens
ENSG00000048740,CUGBP Elav-like family member 2(CELF2),Homo sapiens
ENSG00000154639,CXADR Ig-like cell adhesion molecule(CXADR),Homo sapiens
ENSG00000153071,DAB adaptor protein 2(DAB2),Homo sapiens
ENSG00000085788,DDHD domain containing 2(DDHD2),Homo sapiens
ENSG00000104936,DM1 protein kinase(DMPK),Homo sapiens
ENSG00000175197,DNA damage inducible transcript 3(DDIT3),Homo sapiens
ENSG00000156171,DNA damage regulated autophagy modulator 2(DRAM2),Homo sapiens
ENSG00000142197,DOP1 leucine zipper like protein B(DOP1B),Homo sapiens
ENSG00000070413,DiGeorge syndrome critical region gene 2(DGCR2),Homo sapiens
ENSG00000205981,DnaJ heat shock protein family (Hsp40) member C19(DNAJC19),Homo sapiens
ENSG00000100393,E1A binding protein p300(EP300),Homo sapiens
ENSG00000205250,E2F transcription factor 4(E2F4),Homo sapiens
ENSG00000119147,ECRG4 augurin precursor(ECRG4),Homo sapiens
ENSG00000115380,EGF containing fibulin extracellular matrix protein 1(EFEMP1),Homo sapiens
ENSG00000013016,EH domain containing 3(EHD3),Homo sapiens
ENSG00000162374,ELAV like RNA binding protein 4(ELAVL4),Homo sapiens
ENSG00000125746,EMAP like 2(EML2),Homo sapiens
ENSG00000154928,EPH receptor B1(EPHB1),Homo sapiens
ENSG00000133216,EPH receptor B2(EPHB2),Homo sapiens
ENSG00000112425,"EPM2A glucan phosphatase, laforin(EPM2A)",Homo sapiens
ENSG00000177106,EPS8 signaling adaptor L2(EPS8L2),Homo sapiens
ENSG00000116285,ERBB receptor feedback inhibitor 1(ERRFI1),Homo sapiens
ENSG00000104313,EYA transcriptional coactivator and phosphatase 1(EYA1),Homo sapiens
ENSG00000158161,EYA transcriptional coactivator and phosphatase 3(EYA3),Homo sapiens
ENSG00000112319,EYA transcriptional coactivator and phosphatase 4(EYA4),Homo sapiens
ENSG00000138081,F-box protein 11(FBXO11),Homo sapiens
ENSG00000156804,F-box protein 32(FBXO32),Homo sapiens
ENSG00000158769,F11 receptor(F11R),Homo sapiens
ENSG00000164251,F2R like trypsin receptor 1(F2RL1),Homo sapiens
ENSG00000170264,FAM161 centrosomal protein A(FAM161A),Homo sapiens
ENSG00000073712,FERM domain containing kindlin 2(FERMT2),Homo sapiens
ENSG00000112367,FIG4 phosphoinositide 5-phosphatase(FIG4),Homo sapiens
ENSG00000119782,FKBP prolyl isomerase 1B(FKBP1B),Homo sapiens
ENSG00000175592,"FOS like 1, AP-1 transcription factor subunit(FOSL1)",Homo sapiens
ENSG00000140718,FTO alpha-ketoglutarate dependent dioxygenase(FTO),Homo sapiens
ENSG00000266964,FXYD domain containing ion transport regulator 1(FXYD1),Homo sapiens
ENSG00000010810,"FYN proto-oncogene, Src family tyrosine kinase(FYN)",Homo sapiens
ENSG00000151702,"Fli-1 proto-oncogene, ETS transcription factor(FLI1)",Homo sapiens
ENSG00000170345,"Fos proto-oncogene, AP-1 transcription factor subunit(FOS)",Homo sapiens
ENSG00000169258,G protein regulated inducer of neurite outgrowth 1(GPRIN1),Homo sapiens
ENSG00000088256,G protein subunit alpha 11(GNA11),Homo sapiens
ENSG00000146535,G protein subunit alpha 12(GNA12),Homo sapiens
ENSG00000120063,G protein subunit alpha 13(GNA13),Homo sapiens
ENSG00000141404,G protein subunit alpha L(GNAL),Homo sapiens
ENSG00000114353,G protein subunit alpha i2(GNAI2),Homo sapiens
ENSG00000087258,G protein subunit alpha o1(GNAO1),Homo sapiens
ENSG00000114349,G protein subunit alpha transducin 1(GNAT1),Homo sapiens
ENSG00000134183,G protein subunit alpha transducin 2(GNAT2),Homo sapiens
ENSG00000214415,G protein subunit alpha transducin 3(GNAT3),Homo sapiens
ENSG00000078369,G protein subunit beta 1(GNB1),Homo sapiens
ENSG00000111664,G protein subunit beta 3(GNB3),Homo sapiens
ENSG00000127588,G protein subunit gamma 13(GNG13),Homo sapiens
ENSG00000164850,G protein-coupled estrogen receptor 1(GPER1),Homo sapiens
ENSG00000101850,G protein-coupled receptor 143(GPR143),Homo sapiens
ENSG00000173302,G protein-coupled receptor 148(GPR148),Homo sapiens
ENSG00000163328,G protein-coupled receptor 155(GPR155),Homo sapiens
ENSG00000151025,G protein-coupled receptor 158(GPR158),Homo sapiens
ENSG00000174946,G protein-coupled receptor 171(GPR171),Homo sapiens
ENSG00000178623,G protein-coupled receptor 35(GPR35),Homo sapiens
ENSG00000170075,G protein-coupled receptor 37 like 1(GPR37L1),Homo sapiens
ENSG00000177464,G protein-coupled receptor 4(GPR4),Homo sapiens
ENSG00000181656,G protein-coupled receptor 88(GPR88),Homo sapiens
ENSG00000198908,G protein-coupled receptor associated sorting protein family member 3(GPRASP3),Homo sapiens
ENSG00000185974,G protein-coupled receptor kinase 1(GRK1),Homo sapiens
ENSG00000173020,G protein-coupled receptor kinase 2(GRK2),Homo sapiens
ENSG00000114124,G protein-coupled receptor kinase 7(GRK7),Homo sapiens
ENSG00000107485,GATA binding protein 3(GATA3),Homo sapiens
ENSG00000136574,GATA binding protein 4(GATA4),Homo sapiens
ENSG00000130700,GATA binding protein 5(GATA5),Homo sapiens
ENSG00000141448,GATA binding protein 6(GATA6),Homo sapiens
ENSG00000108262,GIT ArfGAP 1(GIT1),Homo sapiens
ENSG00000087460,GNAS complex locus(GNAS),Homo sapiens
ENSG00000204120,GRB10 interacting GYF protein 2(GIGYF2),Homo sapiens
ENSG00000189152,GRB2 related adaptor protein like(GRAPL),Homo sapiens
ENSG00000154016,GRB2 related adaptor protein(GRAP),Homo sapiens
ENSG00000180613,GS homeobox 2(GSX2),Homo sapiens
ENSG00000006704,GTF2I repeat domain containing 1(GTF2IRD1),Homo sapiens
ENSG00000131979,GTP cyclohydrolase 1(GCH1),Homo sapiens
ENSG00000260234,H3BQ33_HUMAN,Homo sapiens
ENSG00000188620,H6 family homeobox 3(HMX3),Homo sapiens
ENSG00000103657,HECT and RLD domain containing E3 ubiquitin protein ligase family member 1(HERC1),Homo sapiens
ENSG00000135100,HNF1 homeobox A(HNF1A),Homo sapiens
ENSG00000171476,HOP homeobox(HOPX),Homo sapiens
ENSG00000107521,HPS1 biogenesis of lysosomal organelles complex 3 subunit 1(HPS1),Homo sapiens
ENSG00000016082,ISL LIM homeobox 1(ISL1),Homo sapiens
ENSG00000096968,Janus kinase 2(JAK2),Homo sapiens
ENSG00000157404,"KIT proto-oncogene, receptor tyrosine kinase(KIT)",Homo sapiens
ENSG00000163884,KLF transcription factor 15(KLF15),Homo sapiens
ENSG00000127528,KLF transcription factor 2(KLF2),Homo sapiens
ENSG00000133703,"KRAS proto-oncogene, GTPase(KRAS)",Homo sapiens
ENSG00000197993,Kell metallo-endopeptidase (Kell blood group)(KEL),Homo sapiens
ENSG00000170498,KiSS-1 metastasis suppressor(KISS1),Homo sapiens
ENSG00000133424,LARGE xylosyl- and glucuronyltransferase 1(LARGE1),Homo sapiens
ENSG00000081479,LDL receptor related protein 2(LRP2),Homo sapiens
ENSG00000162337,LDL receptor related protein 5(LRP5),Homo sapiens
ENSG00000187416,LHFPL tetraspan subfamily member 3(LHFPL3),Homo sapiens
ENSG00000156959,LHFPL tetraspan subfamily member 4(LHFPL4),Homo sapiens
ENSG00000197753,LHFPL tetraspan subfamily member 5(LHFPL5),Homo sapiens
ENSG00000071282,LIM and cysteine rich domains 1(LMCD1),Homo sapiens
ENSG00000050405,LIM domain and actin binding 1(LIMA1),Homo sapiens
ENSG00000162624,LIM homeobox 8(LHX8),Homo sapiens
ENSG00000162761,LIM homeobox transcription factor 1 alpha(LMX1A),Homo sapiens
ENSG00000102316,MAGE family member D2(MAGED2),Homo sapiens
ENSG00000152939,MARVEL domain containing 2(MARVELD2),Homo sapiens
ENSG00000183695,MAS related GPR family member X2(MRGPRX2),Homo sapiens
ENSG00000135679,MDM2 proto-oncogene(MDM2),Homo sapiens
ENSG00000168389,"MFSD2 lysolipid transporter A, lysophospholipid(MFSD2A)",Homo sapiens
ENSG00000125863,MKKS centrosomal shuttling protein(MKKS),Homo sapiens
ENSG00000005810,MYC binding protein 2(MYCBP2),Homo sapiens
ENSG00000143995,Meis homeobox 1(MEIS1),Homo sapiens
ENSG00000134138,Meis homeobox 2(MEIS2),Homo sapiens
ENSG00000166507,N-deacetylase and N-sulfotransferase 2(NDST2),Homo sapiens
ENSG00000157045,N-terminal asparagine amidase(NTAN1),Homo sapiens
ENSG00000147684,NADH:ubiquinone oxidoreductase subunit B9(NDUFB9),Homo sapiens
ENSG00000007952,NADPH oxidase 1(NOX1),Homo sapiens
ENSG00000086991,NADPH oxidase 4(NOX4),Homo sapiens
ENSG00000103034,NDRG family member 4(NDRG4),Homo sapiens
ENSG00000049759,NEDD4 like E3 ubiquitin protein ligase(NEDD4L),Homo sapiens
ENSG00000109062,NHERF family PDZ scaffold protein 1(NHERF1),Homo sapiens
ENSG00000141101,NIN1 (RPN12) binding protein 1 homolog(NOB1),Homo sapiens
ENSG00000164190,NIPBL cohesin loading factor(NIPBL),Homo sapiens
ENSG00000235608,NK1 homeobox 1(NKX1-1),Homo sapiens
ENSG00000183072,NK2 homeobox 5(NKX2-5),Homo sapiens
ENSG00000167034,NK3 homeobox 1(NKX3-1),Homo sapiens
ENSG00000148826,NK6 homeobox 2(NKX6-2),Homo sapiens
ENSG00000130305,NOP2/Sun RNA methyltransferase 5(NSUN5),Homo sapiens
ENSG00000141458,NPC intracellular cholesterol transporter 1(NPC1),Homo sapiens
ENSG00000015520,NPC1 like intracellular cholesterol transporter 1(NPC1L1),Homo sapiens
ENSG00000161270,"NPHS1 adhesion molecule, nephrin(NPHS1)",Homo sapiens
ENSG00000116218,"NPHS2 stomatin family member, podocin(NPHS2)",Homo sapiens
ENSG00000198836,OPA1 mitochondrial dynamin like GTPase(OPA1),Homo sapiens
ENSG00000172057,ORMDL sphingolipid biosynthesis regulator 3(ORMDL3),Homo sapiens
ENSG00000167081,PBX homeobox 3(PBX3),Homo sapiens
ENSG00000163110,PDZ and LIM domain 5(PDLIM5),Homo sapiens
ENSG00000186862,PDZ domain containing 7(PDZD7),Homo sapiens
ENSG00000122733,PHD finger protein 24(PHF24),Homo sapiens
ENSG00000205038,PKHD1 like 1(PKHD1L1),Homo sapiens
ENSG00000127838,PNKD metallo-beta-lactamase domain containing(PNKD),Homo sapiens
ENSG00000198914,POU class 3 homeobox 3(POU3F3),Homo sapiens
ENSG00000196767,POU class 3 homeobox 4(POU3F4),Homo sapiens
ENSG00000152192,POU class 4 homeobox 1(POU4F1),Homo sapiens
ENSG00000151615,POU class 4 homeobox 2(POU4F2),Homo sapiens
ENSG00000091010,POU class 4 homeobox 3(POU4F3),Homo sapiens
ENSG00000106536,POU class 6 homeobox 2(POU6F2),Homo sapiens
ENSG00000130711,PR/SET domain 12(PRDM12),Homo sapiens
ENSG00000212127,PRH1-TAS2R14 readthrough(PRH1-TAS2R14),Homo sapiens
ENSG00000128563,PRKR interacting protein 1(PRKRIP1),Homo sapiens
ENSG00000156675,RAB11 family interacting protein 1(RAB11FIP1),Homo sapiens
ENSG00000090565,RAB11 family interacting protein 3(RAB11FIP3),Homo sapiens
ENSG00000135631,RAB11 family interacting protein 5(RAB11FIP5),Homo sapiens
ENSG00000105649,"RAB3A, member RAS oncogene family(RAB3A)",Homo sapiens
ENSG00000166128,"RAB8B, member RAS oncogene family(RAB8B)",Homo sapiens
ENSG00000108961,RAN guanine nucleotide release factor(RANGRF),Homo sapiens
ENSG00000198963,RAR related orphan receptor B(RORB),Homo sapiens
ENSG00000198771,RCSD domain containing 1(RCSD1),Homo sapiens
ENSG00000198570,RD3 regulator of GUCY2D(RD3),Homo sapiens
ENSG00000084093,RE1 silencing transcription factor(REST),Homo sapiens
ENSG00000177963,RIC8 guanine nucleotide exchange factor A(RIC8A),Homo sapiens
ENSG00000078328,RNA binding fox-1 homolog 1(RBFOX1),Homo sapiens
ENSG00000100320,RNA binding fox-1 homolog 2(RBFOX2),Homo sapiens
ENSG00000104237,RP1 axonemal microtubule associated(RP1),Homo sapiens
ENSG00000183638,RP1 like 1(RP1L1),Homo sapiens
ENSG00000102218,RP2 activator of ARL3 GTPase(RP2),Homo sapiens
ENSG00000164610,RP9 pre-mRNA splicing factor(RP9),Homo sapiens
ENSG00000092200,RPGR interacting protein 1(RPGRIP1),Homo sapiens
ENSG00000088320,RRAD and GEM like GTPase 1(REM1),Homo sapiens
ENSG00000100949,Rab geranylgeranyltransferase subunit alpha(RABGGTA),Homo sapiens
ENSG00000137955,Rab geranylgeranyltransferase subunit beta(RABGGTB),Homo sapiens
ENSG00000169750,Rac family small GTPase 3(RAC3),Homo sapiens
ENSG00000079337,Rap guanine nucleotide exchange factor 3(RAPGEF3),Homo sapiens
ENSG00000138698,Rap1 GTPase-GDP dissociation stimulator 1(RAP1GDS1),Homo sapiens
ENSG00000058335,Ras protein specific guanine nucleotide releasing factor 1(RASGRF1),Homo sapiens
ENSG00000160007,Rho GTPase activating protein 35(ARHGAP35),Homo sapiens
ENSG00000165895,Rho GTPase activating protein 42(ARHGAP42),Homo sapiens
