# ALPHA = 0.05
# NUMBER_OF_TESTS = 84

# _SET1_  VARIABLE = Astro_dev-2 (set)
# _SET1_  NGENES = 1659
# _SET1_  P-VALUE = 0.00027362
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000162576     1    1278069    1332157      3       2  638079       4.2106   3.1646e-09    1.9984e-13       4.2106
_SET1_   ENSG00000178821     1    1839029    1885712     12       2  692233     -0.37675      0.04224    1.9967e-13     -0.37675
_SET1_   ENSG00000197921     1    2450184    2496684      9       4  653393      -0.5789     0.063762    1.9962e-13      -0.5789
_SET1_   ENSG00000142611     1    2950732    3365185    306      61  682522         1.59   2.2807e-08    1.9962e-13         1.59
_SET1_   ENSG00000177133     1    2966179    3020001     20       6  664889      0.65395    0.0016621    1.9962e-13      0.65395
_SET1_   ENSG00000269978     1    7750764    7796030     28       6  691733      0.69539    0.0011874    1.9962e-13      0.69539
_SET1_   ENSG00000234546     1    9207263    9262148     30      10  699428       4.1415   2.1786e-12    1.9984e-13       4.1415
_SET1_   ENSG00000171612     1    9564541    9655237     20       3  687482       2.5512   4.7443e-06    1.9984e-13       2.5512
_SET1_   ENSG00000009724     1   11076580   11142290     30       2  699366       4.3422        5e-10    1.9984e-13       4.3422
_SET1_   ENSG00000177674     1   11761141   11824859     38      10  681467      -1.7804       0.1994    1.9962e-13      -1.7804
_SET1_   ENSG00000175206     1   11895766   11943402     74      12  695503      -2.8427      0.59208    1.9984e-13      -2.8427
_SET1_   ENSG00000120949     1   12088434   12214264     58      18  657602      -3.3327      0.76092    1.9984e-13      -3.3327
_SET1_   ENSG00000162493     1   13874960   13954452     72      18  684423       4.1186   1.5276e-12    1.9984e-13       4.1186
_SET1_   ENSG00000204464     1   15480840   15532813     69      10  703321      -2.2895      0.36652    1.9984e-13      -2.2895
_SET1_   ENSG00000233485     1   15643176   15705372     27       7  690200      -0.4531     0.017509    1.9967e-13      -0.4531
_SET1_   ENSG00000215704     1   15757404   15827895     51       9  701884     -0.31786      0.01018    1.9967e-13     -0.31786
_SET1_   ENSG00000132906     1   15807327   15888029     92       7  701034      0.32148    0.0031772    1.9967e-13      0.32148
_SET1_   ENSG00000224621     1   16450761   16498378     33       6  695153       2.0344   5.4385e-06    1.9984e-13       2.0344
_SET1_   ENSG00000074964     1   17831330   18034369    143      18  688509      -1.2635     0.072138    1.9962e-13      -1.2635
_SET1_   ENSG00000169991     1   19220775   19318180     47      10  674299     -0.82233     0.050142    1.9962e-13     -0.82233
_SET1_   ENSG00000235185     1   19908296   19958326     28       6  698869       4.3442   1.0047e-11    1.9984e-13       4.3442
_SET1_   ENSG00000127472     1   20319672   20427683     95      15  691765        -4.42      0.95837    1.9984e-13        -4.42
_SET1_   ENSG00000226664     1   20610704   20684680    113      15  701328       0.5044   0.00052332    1.9962e-13       0.5044
_SET1_   ENSG00000203394     1   21034480   21080455     33       7  701216         3.56        5e-10    1.9984e-13         3.56
_SET1_   ENSG00000088280     1   23745056   23846061     53       7  702206      0.65442    0.0017566    1.9962e-13      0.65442
_SET1_   ENSG00000117318     1   23874409   23921285     20       5  689514       1.1368   0.00017913    1.9962e-13       1.1368
_SET1_   ENSG00000228172     1   26133240   26181263     26       2  700417       4.5921   6.5146e-11    1.9984e-13       4.5921
_SET1_   ENSG00000060642     1   27078963   27134889      4       1  708552       4.2617        5e-10    1.9984e-13       4.2617
_SET1_   ENSG00000162512     1   31332314   31416608     53      18  689715       1.6905   1.8335e-06    1.9962e-13       1.6905
_SET1_   ENSG00000222046     1   32639695   32691797     13       2  669800       4.7491        5e-10    1.9984e-13       4.7491
_SET1_   ENSG00000236065     1   33417676   33508070     41       4  702178    -0.013065     0.015672    1.9965e-13    -0.013065
_SET1_   ENSG00000163867     1   35439523   35532569     35       1  695861     -0.38424      0.38198    1.9967e-13     -0.38424
