# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT  ZFITTED_BASE  ZRESID_BASE
ENSG00000269831    1     728532     774137      2       1  537291      -1.9555   -3.1086e-15      -1.9555
ENSG00000269308    1     783043     829983      5       2  558726      -2.6229   -3.1086e-15      -2.6229
ENSG00000188157    1     920503    1001496      2       1  624320       2.0168   -3.1086e-15       2.0168
ENSG00000237330    1     996346    1044687     17       4  666559      0.56003   -3.1086e-15      0.56003
ENSG00000131591    1    1007198    1086741     32       7  649180      0.14337   -3.0531e-15      0.14337
ENSG00000162571    1    1074264    1143315     19       7  650922      -2.2308   -3.1086e-15      -2.2308
ENSG00000186891    1    1128888    1177071     14       4  679881      0.80825   -3.1086e-15      0.80825
ENSG00000176022    1    1132629    1180421     12       4  678948      0.71353   -3.1086e-15      0.71353
ENSG00000186827    1    1136706    1184518     12       4  678678      0.95961   -3.1086e-15      0.95961
ENSG00000078808    1    1142288    1202411     16       4  679467       1.4528   -3.1086e-15       1.4528
ENSG00000184163    1    1167826    1217102     14       4  676988      0.99184   -3.1086e-15      0.99184
ENSG00000160087    1    1179289    1244265     18       6  655410       1.5269   -3.1086e-15       1.5269
ENSG00000162572    1    1180816    1237409     16       6  666042       1.1195   -3.1086e-15       1.1195
ENSG00000169972    1    1208947    1257057      9       3  627121       1.4574   -3.1086e-15       1.4574
ENSG00000131584    1    1217756    1279989      7       2  612620       1.7436   -3.1086e-15       1.7436
ENSG00000224051    1    1225136    1274277      7       2  612620       1.7436   -3.1086e-15       1.7436
ENSG00000169962    1    1231694    1280686      5       2  616907       1.6165   -3.1086e-15       1.6165
ENSG00000127054    1    1236965    1295071      4       1  604872       2.1217   -3.1086e-15       2.1217
ENSG00000107404    1    1260656    1319730      3       2  638079       3.6819   -3.1086e-15       3.6819
ENSG00000162576    1    1278069    1332157      3       2  638079       3.6819   -3.1086e-15       3.6819
ENSG00000175756    1    1299110    1345875      3       2  638079       3.6819   -3.1086e-15       3.6819
ENSG00000224870    1    1299902    1347426      3       2  638079       3.6819   -3.1086e-15       3.6819
ENSG00000221978    1    1311091    1369708      1       1  669749      0.22146   -3.0531e-15      0.22146
ENSG00000197785    1    1412531    1480067     10       3  664791       1.7741   -3.1086e-15       1.7741
ENSG00000205090    1    1460554    1510833     18       2  688210        2.534   -3.1086e-15        2.534
ENSG00000160075    1    1467053    1545249     17       2  690236        2.471   -3.1086e-15        2.471
ENSG00000215014    1    1475355    1521373     16       1  690126       2.9662   -3.1086e-15       2.9662
ENSG00000215790    1    1646277    1712431      3       1  675979      -1.6501   -3.1086e-15      -1.6501
ENSG00000008130    1    1672671    1746896     12       3  649930     -0.67465   -3.1086e-15     -0.67465
ENSG00000078369    1    1706729    1857495     47       6  662258      -1.4543   -3.1086e-15      -1.4543
ENSG00000169885    1    1811266    1858735     10       3  657360      -1.5536   -3.1086e-15      -1.5536
ENSG00000178821    1    1839029    1885712     12       2  692233     -0.96624   -3.1086e-15     -0.96624
ENSG00000142609    1    1843396    1970276     17       4  673606       -1.031   -3.1086e-15       -1.031
ENSG00000187730    1    1915780    1972192      1       1  490900    -0.081341   -3.0531e-15    -0.081341
ENSG00000067606    1    1946909    2126834     72       7  692876       3.2071   -3.1086e-15       3.2071
ENSG00000269554    1    2086237    2133179     18       3  700238       3.2534   -3.1086e-15       3.2534
ENSG00000162585    1    2105903    2179159     21       4  690142       4.5762   -2.6645e-15       4.5762
ENSG00000157933    1    2125134    2251558     70      15  679191       2.9484   -3.1086e-15       2.9484
ENSG00000203301    1    2133360    2180620     14       3  688780       4.2371   -2.6645e-15       4.2371
ENSG00000269753    1    2223581    2269042     24       6  670124       3.4258   -3.1086e-15       3.4258
ENSG00000116151    1    2242692    2358146     82      19  679151       1.7871   -3.1086e-15       1.7871
ENSG00000157916    1    2288267    2346883     44      14  672055      0.82031   -3.1086e-15      0.82031
ENSG00000149527    1    2322419    2446969     57      16  663978      -1.0742   -3.1086e-15      -1.0742
ENSG00000157911    1    2326236    2380236     19       7  640060      0.16937   -3.0531e-15      0.16937
ENSG00000157881    1    2429972    2493039     17       4  672660      -1.9144   -3.1086e-15      -1.9144
ENSG00000197921    1    2450184    2496684      9       4  653393      -1.0958   -3.1086e-15      -1.0958
ENSG00000157873    1    2452078    2506821     12       4  667203      -1.3125   -3.1086e-15      -1.3125
ENSG00000157870    1    2482930    2532908     22       3  701492      -2.2743   -3.1086e-15      -2.2743
ENSG00000142606    1    2512078    2599481     29       3  698317      -2.1451   -3.1086e-15      -2.1451
ENSG00000215912    1    2557415    2753286     23       5  687942      -2.1821   -3.1086e-15      -2.1821
ENSG00000169717    1    2903046    2949465     50       2  703329      -0.2098   -3.0531e-15      -0.2098
ENSG00000142611    1    2950732    3365185    306      61  682522       1.8607   -3.1086e-15       1.8607
ENSG00000130762    1    3335990    3407677     37       7  682761     -0.99591   -3.1086e-15     -0.99591
ENSG00000162591    1    3396484    3563059     64      23  638382       1.6269   -3.1086e-15       1.6269
ENSG00000158109    1    3506566    3556691     23       8  655235      0.82885   -3.1086e-15      0.82885
ENSG00000078900    1    3534084    3662765     59      21  649019     0.063091   -3.0531e-15     0.063091
ENSG00000116213    1    3537331    3604325     29      10  644995      0.55311   -3.1086e-15      0.55311
ENSG00000162592    1    3633962    3698209     49      13  686895      -1.0937   -3.1086e-15      -1.0937
ENSG00000235169    1    3654352    3702546     42      10  691298     -0.57328   -3.1086e-15     -0.57328
ENSG00000130764    1    3686784    3748068     75      10  695499      0.91915   -3.1086e-15      0.91915
