# ALPHA = 0.05
# NUMBER_OF_TESTS = 84

# _SET1_  VARIABLE = Astro_dev-4 (set)
# _SET1_  NGENES = 897
# _SET1_  P-VALUE = 0.000336673
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000272004     1    1555786    1604063     63      10  413466       1.8558    0.0084428   -2.2204e-16       1.8558
_SET1_   ENSG00000177133     1    2966179    3020001    160      31  413466      0.16119      0.24383   -1.3878e-16      0.16119
_SET1_   ENSG00000272235     1    3213200    3261660    183      22  413466      0.19958      0.22521   -1.3878e-16      0.19958
_SET1_   ENSG00000237436     1    6833952    6879903    100      15  413466       1.2879     0.037832   -2.2204e-16       1.2879
_SET1_   ENSG00000237728     1    7432548    7484814    146      14  413466    -0.078961      0.33421   -1.5266e-16    -0.078961
_SET1_   ENSG00000259961     1   13804715   13852765    207      43  413466       0.8384     0.093084   -1.1102e-16       0.8384
_SET1_   ENSG00000179743     1   16150560   16209642    121      18  413466      0.44783      0.16644   -1.6653e-16      0.44783
_SET1_   ENSG00000235185     1   19908296   19958326    112      16  413466     -0.94682      0.66942   -1.1102e-16     -0.94682
_SET1_   ENSG00000225986     1   20500735   20547979    100      16  413466       1.1793     0.045865   -2.2204e-16       1.1793
_SET1_   ENSG00000203394     1   21034480   21080455    133      22  413466      -1.0458      0.69713   -2.2204e-16      -1.0458
_SET1_   ENSG00000260063     1   27008623   27055622     73       7  413466     -0.34036      0.47379   -1.6653e-16     -0.34036
_SET1_   ENSG00000230955     1   38291369   38337252     74      13  413466       1.3698     0.028326   -2.2204e-16       1.3698
_SET1_   ENSG00000226438     1   39705510   39758321     93      13  413466       1.3214     0.035526   -2.2204e-16       1.3214
_SET1_   ENSG00000259943     1   40712099   40758639     56      12  413466      -1.5823       0.8564   -2.2204e-16      -1.5823
_SET1_   ENSG00000229444     1   44165063   44228014    122      11  413466       1.3175     0.032437   -2.2204e-16       1.3175
_SET1_   ENSG00000228237     1   47104708   47167770    108       5  413466      -1.6725      0.89083   -2.2204e-16      -1.6725
_SET1_   ENSG00000238140     1   51892393   51939088    131      15  413466     -0.46217      0.51695   -1.6653e-16     -0.46217
_SET1_   ENSG00000259818     1   53651335   53699925     79      11  413466       3.0702   0.00015496             0       3.0702
