# ALPHA = 0.05
# NUMBER_OF_TESTS = 84

# _SET1_  VARIABLE = Astro_dev-3 (set)
# _SET1_  NGENES = 1219
# _SET1_  P-VALUE = 4.33024e-05
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000184163     1    1167826    1217102     14       4  676988      0.99184    0.0004737   -3.1086e-15      0.99184
_SET1_   ENSG00000162576     1    1278069    1332157      3       2  638079       3.6819   3.1646e-09   -3.1086e-15       3.6819
_SET1_   ENSG00000197921     1    2450184    2496684      9       4  653393      -1.0958     0.063762   -3.1086e-15      -1.0958
_SET1_   ENSG00000142611     1    2950732    3365185    306      61  682522       1.8607   2.2807e-08   -3.1086e-15       1.8607
_SET1_   ENSG00000074800     1    8911061    8974308     39       6  695520     -0.32058    0.0037026   -3.0531e-15     -0.32058
_SET1_   ENSG00000162490     1   11716786   11795914     31      12  653812      -2.2769      0.22021   -3.1086e-15      -2.2769
_SET1_   ENSG00000177674     1   11761141   11824859     38      10  681467      -2.3619       0.1994   -3.1086e-15      -2.3619
_SET1_   ENSG00000011021     1   11831207   11913201    108      11  702489      -1.7143     0.081701   -3.1086e-15      -1.7143
_SET1_   ENSG00000162493     1   13874960   13954452     72      18  684423       3.6454   1.5276e-12   -3.1086e-15       3.6454
_SET1_   ENSG00000204464     1   15480840   15532813     69      10  703321      -2.9215      0.36652   -3.1086e-15      -2.9215
_SET1_   ENSG00000142627     1   16440832   16517582     62       9  694455       1.7669   5.5774e-07   -3.1086e-15       1.7669
_SET1_   ENSG00000074964     1   17831330   18034369    143      18  688509      -1.6848     0.072138   -3.1086e-15      -1.6848
_SET1_   ENSG00000117148     1   18046808   18163558     80      12  691269      -2.5867      0.29314   -3.1086e-15      -2.5867
_SET1_   ENSG00000255275     1   19165767   19282615     45      16  667541      -1.7285     0.074689   -3.1086e-15      -1.7285
_SET1_   ENSG00000169991     1   19220775   19318180     47      10  674299       -1.341     0.050142   -3.1086e-15       -1.341
_SET1_   ENSG00000158055     1   24610812   24700972     89      11  697682      -1.6656     0.053011   -3.1086e-15      -1.6656
_SET1_   ENSG00000169504     1   25036848   25180815     42       4  703604       3.9576   4.3005e-12   -3.1086e-15       3.9576
_SET1_   ENSG00000255054     1   26102961   26160235     34       5  693290        3.473    8.779e-11   -3.1086e-15        3.473
_SET1_   ENSG00000176092     1   26638350   26715621     77      13  696752       2.8198        5e-10   -3.1086e-15       2.8198
_SET1_   ENSG00000131914     1   26702269   26766213     40      10  695317       2.7361        5e-10   -3.1086e-15       2.7361
_SET1_   ENSG00000158246     1   27321511   27374327     23       2  691127      0.51168     0.010809   -3.1086e-15      0.51168
_SET1_   ENSG00000142733     1   27671675   27728383     19       5  678979      -0.3529    0.0064161   -3.0531e-15      -0.3529
_SET1_   ENSG00000162512     1   31332314   31416608     53      18  689715       1.1828   1.8335e-06   -3.1086e-15       1.1828
_SET1_   ENSG00000212673     1   32344174   32390745     13       3  698106       3.3627        5e-10   -3.1086e-15       3.3627
_SET1_   ENSG00000142694     1   36777632   36824755     15       3  697006       2.3145   2.3026e-07   -3.1086e-15       2.3145
_SET1_   ENSG00000134690     1   38123090   38185391     57       8  692531     -0.81584     0.013203   -3.1086e-15     -0.81584
_SET1_   ENSG00000117394     1   43381052   43459530     81      11  697111       1.5128   1.3935e-06   -3.1086e-15       1.5128
_SET1_   ENSG00000117399     1   43789626   43838874     12       2  688722        3.572   3.7277e-10   -3.1086e-15        3.572
_SET1_   ENSG00000142945     1   45170490   45243439     30       4  703483     -0.79055     0.021217   -3.1086e-15     -0.79055
_SET1_   ENSG00000117834     1   48653357   48724316     47       7  699287      -4.4837      0.91644   -2.6645e-15      -4.4837
_SET1_   ENSG00000132122     1   48751044   48972845    111      14  696156      -3.4169      0.57688   -3.1086e-15      -3.4169
_SET1_   ENSG00000142700     1   50873222   50924172     26       4  706350       3.1462        5e-10   -3.1086e-15       3.1462
_SET1_   ENSG00000123080     1   51391417   51450305     11       3  702046       3.1384        5e-10   -3.1086e-15       3.1384
_SET1_   ENSG00000006555     1   55235385   55301940     47       6  693696      0.53013   0.00031041   -3.1086e-15      0.53013
_SET1_   ENSG00000162402     1   55522032   55715786    122       9  701079        -1.43     0.070075   -3.1086e-15        -1.43
