# ALPHA = 0.05
# NUMBER_OF_TESTS = 84

# _SET1_  VARIABLE = Astro_dev-1 (set)
# _SET1_  NGENES = 848
# _SET1_  P-VALUE = 0.00030603
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000272449     1    2442904    2488899     12       3  647107       4.6734   3.3774e-09    8.8818e-16       4.6734
_SET1_   ENSG00000177133     1    2966179    3020001     18       6  657067      0.45519     0.034921     4.996e-16      0.45519
_SET1_   ENSG00000272235     1    3213200    3261660     59       9  685570      -1.9833      0.62069    4.4409e-16      -1.9833
_SET1_   ENSG00000237436     1    6833952    6879903     26       5  688292      0.22033      0.04448    5.2736e-16      0.22033
_SET1_   ENSG00000233485     1   15643176   15705372     28       7  672625     -0.71604      0.21021    5.5511e-16     -0.71604
_SET1_   ENSG00000228140     1   15719475   15770929     12       4  687141       -0.927      0.22966    5.5511e-16       -0.927
_SET1_   ENSG00000179743     1   16150560   16209642     20       4  683032       1.2537    0.0029749    4.4409e-16       1.2537
_SET1_   ENSG00000227959     1   16446706   16493824     34       6  682759      0.47937     0.022034     4.996e-16      0.47937
_SET1_   ENSG00000224621     1   16450761   16498378     33       6  682848        0.442     0.024115     4.996e-16        0.442
_SET1_   ENSG00000235185     1   19908296   19958326     28       6  687004      0.42357     0.024446     4.996e-16      0.42357
_SET1_   ENSG00000227066     1   20445831   20497061     24       7  676021      -1.6259      0.54247    4.4409e-16      -1.6259
_SET1_   ENSG00000261326     1   23597802   23648245     18       3  683272       1.3897    0.0031519    4.4409e-16       1.3897
_SET1_   ENSG00000232298     1   24624046   24683391     51       9  680109     -0.25773       0.0851     4.996e-16     -0.25773
_SET1_   ENSG00000270103     1   28940112   28985245      6       1  691054      -2.4736      0.84786    4.4409e-16      -2.4736
_SET1_   ENSG00000235790     1   32074650   32135539     41       3  689566       4.6278   5.1726e-10    8.8818e-16       4.6278
_SET1_   ENSG00000224805     1   47609922   47656011     12       4  682688       1.5689   0.00092469    4.4409e-16       1.5689
_SET1_   ENSG00000238140     1   51892393   51939088     21       5  686371       1.2365    0.0040046    4.4409e-16       1.2365
_SET1_   ENSG00000227070     1   51948981   52037301     48      11  681058       1.2495    0.0029589    4.4409e-16       1.2495
_SET1_   ENSG00000260971     1   56703966   56759243     87      11  683200      0.22032     0.027743    5.2736e-16      0.22032
_SET1_   ENSG00000231816     1   60203467   60264520     37      13  672118     -0.31628      0.11756     4.996e-16     -0.31628
_SET1_   ENSG00000226476     1   60995921   61141163    115      11  685987      0.65883    0.0063927    5.5511e-16      0.65883
_SET1_   ENSG00000231252     1   61115303   61326256    259      34  685935      0.98099   0.00049624    5.5511e-16      0.98099
_SET1_   ENSG00000235545     1   63119153   63186365     17       2  759668      0.92077   0.00027589    5.5511e-16      0.92077
_SET1_   ENSG00000229537     1   63456168   63513142    115      16  685472     -0.25356     0.056121     4.996e-16     -0.25356
_SET1_   ENSG00000237919     1   70469665   70531905     58       9  680074      0.46669     0.026911     4.996e-16      0.46669
_SET1_   ENSG00000271992     1   70875754   70921219     36       9  681013      0.90859    0.0062148    5.5511e-16      0.90859
_SET1_   ENSG00000178193     1   76165688   76224696     46       5  678205      0.41709     0.031246     4.996e-16      0.41709
_SET1_   ENSG00000237552     1   77213809   77279952     49      12  683222     0.064047     0.041482    5.2736e-16     0.064047
_SET1_   ENSG00000223653     1   85707398   85923807    234      25  688989       1.5573   6.4849e-05    4.4409e-16       1.5573
_SET1_   ENSG00000273264     1   85897978   85943343     59      15  684870       2.1856   4.9408e-05    4.4409e-16       2.1856
_SET1_   ENSG00000231999     1   90038800   90133453     80      10  684102      0.57386     0.010308    5.5511e-16      0.57386
_SET1_   ENSG00000223675     1   95041112   95092853     49      11  682911      -1.3496      0.38574    4.4409e-16      -1.3496
_SET1_   ENSG00000235565     1   95076707   95124740     69      10  677794     -0.74272      0.19048    5.5511e-16     -0.74272
_SET1_   ENSG00000224081     1   95094017   95320837    263      25  683211      -1.5803      0.21813    4.4409e-16      -1.5803
_SET1_   ENSG00000235501     1   95358122   95438826     71      16  680965     -0.59329      0.14037    5.5511e-16     -0.59329
_SET1_   ENSG00000230427     1   95492152   95543101     26       4  689984     -0.34573       0.1141     4.996e-16     -0.34573
_SET1_   ENSG00000226026     1   95618775   95734538     80      11  686565      0.58185      0.01051    5.5511e-16      0.58185
_SET1_   ENSG00000224616     1  100719565  100766676     32       2  687756       1.4286    0.0054355    4.4409e-16       1.4286
_SET1_   ENSG00000228086     1  100917955  100986553     19       5  683359       2.0375   0.00014464    4.4409e-16       2.0375
_SET1_   ENSG00000233184     1  101456434  101562821     62       7  690237      0.54295     0.015971    5.5511e-16      0.54295
_SET1_   ENSG00000225938     1  101691239  101737084     39      10  685308       1.4523    0.0011021    4.4409e-16       1.4523
_SET1_   ENSG00000230489     1  108472065  108547229     58      12  687727       2.4048   2.0655e-05    4.4409e-16       2.4048
_SET1_   ENSG00000227963     1  110818997  110916793     96      13  687292       1.2082    0.0012487    4.4409e-16       1.2082
_SET1_   ENSG00000273483     1  113050421  113096063     29       4  702868     -0.93477      0.20745    5.5511e-16     -0.93477
_SET1_   ENSG00000225075     1  113226310  113274243     18       5  679678      0.14489     0.042173    5.2736e-16      0.14489
_SET1_   ENSG00000235527     1  114456622  114507114     23       4  688191      -2.4187      0.80747    4.4409e-16      -2.4187
_SET1_   ENSG00000224950     1  117025645  117076834     23       4  669767     -0.63008      0.25426    5.5511e-16     -0.63008
_SET1_   ENSG00000272715     1  117441771  117487153     63       5  678780      -1.4534       0.6152    4.4409e-16      -1.4534
_SET1_   ENSG00000271427     1  117897521  117943095     33       6  695821       1.6616    0.0003936    4.4409e-16       1.6616
_SET1_   ENSG00000224238     1  119555028  119617408     90       9  763732      0.97657   5.1813e-05    5.5511e-16      0.97657
_SET1_   ENSG00000273481     1  151265425  151310905     16       2  697713      -1.3892      0.43811    4.4409e-16      -1.3892
_SET1_   ENSG00000231064     1  155131659  155185286     14       2  685446       2.7736   1.1523e-05    4.4409e-16       2.7736
_SET1_   ENSG00000225855     1  155276654  155328967      8       2  710875     -0.33817     0.070016     4.996e-16     -0.33817
_SET1_   ENSG00000237390     1  156323018  156375401     37       8  689210      0.31542     0.020962     4.996e-16      0.31542
_SET1_   ENSG00000272068     1  156597575  156645796     26       6  663791       1.3617    0.0029329    4.4409e-16       1.3617
_SET1_   ENSG00000272405     1  156601458  156649679     28       6  661037       1.2442    0.0046495    4.4409e-16       1.2442
_SET1_   ENSG00000229953     1  156606299  156666216     40       8  654566       1.1628     0.006314    4.4409e-16       1.1628
_SET1_   ENSG00000272668     1  159801744  159847475     45       9  678646      -1.9888      0.65862    4.4409e-16      -1.9888
_SET1_   ENSG00000224259     1  159896008  159958851     69      17  675038       0.5231     0.016749    5.5511e-16       0.5231
_SET1_   ENSG00000225279     1  159997278  160059611     29       7  683275      -1.1561      0.32426    4.4409e-16      -1.1561
_SET1_   ENSG00000232995     1  163204295  163326684    208      18  688530      -2.4782      0.61634    4.4409e-16      -2.4782
_SET1_   ENSG00000224358     1  165703166  165754413     22       5  680733     -0.20405     0.097805    5.2736e-16     -0.20405
_SET1_   ENSG00000225243     1  171158383  171231927     88      12  683445       -2.172      0.68331    4.4409e-16       -2.172
_SET1_   ENSG00000231424     1  171206719  171255933     58      11  679665      -2.4581       0.8138    4.4409e-16      -2.4581
_SET1_   ENSG00000236030     1  187026974  187339455    281      26  683696      0.43841    0.0024892     4.996e-16      0.43841
_SET1_   ENSG00000231599     1  187377738  187456354     97      16  684562      -2.2442      0.67771    4.4409e-16      -2.2442
_SET1_   ENSG00000232212     1  189709595  189794048    113      11  678585        1.806   0.00035892    4.4409e-16        1.806
_SET1_   ENSG00000237457     1  190412681  190459865     39       5  687033       3.5584   1.5886e-07    4.4409e-16       3.5584
_SET1_   ENSG00000241505     1  190414509  190473427     60       6  687448       2.7603   6.1763e-06    4.4409e-16       2.7603
_SET1_   ENSG00000230260     1  197397106  197451599     12       3  673567      0.75696     0.013979    5.5511e-16      0.75696
_SET1_   ENSG00000260088     1  200603635  200673378     76      10  689809     -0.72203      0.15371    5.5511e-16     -0.72203
_SET1_   ENSG00000223774     1  201827970  201879106     15       4  705885       5.9271   3.7347e-15    8.8818e-16       5.9271
_SET1_   ENSG00000228288     1  202745082  202791284     23       6  690270       2.2227   6.5604e-05    4.4409e-16       2.2227
_SET1_   ENSG00000232812     1  208867033  208916529     52       3  685378     -0.71987      0.36995    5.5511e-16     -0.71987
_SET1_   ENSG00000261252     1  211573414  211618675     12       3  656053      -1.8097      0.74499    4.4409e-16      -1.8097
_SET1_   ENSG00000232480     1  218507538  218554020     20       5  733326       -2.128      0.45056    4.4409e-16       -2.128
_SET1_   ENSG00000228063     1  219249944  219382303     76       6  687612     -0.67871      0.16984    5.5511e-16     -0.67871
_SET1_   ENSG00000223842     1  219385590  219433839     22       3  684155     -0.81624      0.25727    5.5511e-16     -0.81624
_SET1_   ENSG00000230024     1  219598494  219650984     77       9  730154       3.1122   2.4892e-08    4.4409e-16       3.1122
_SET1_   ENSG00000238078     1  220967597  221015771     66      10  698463       0.5051    0.0086307    5.5511e-16       0.5051
_SET1_   ENSG00000228548     1  226821598  226874046     42       7  687399        -4.26      0.99615    8.8818e-16        -4.26
_SET1_   ENSG00000227711     1  227688297  227743178     35       4  685516      0.34009     0.033508     4.996e-16      0.34009
_SET1_   ENSG00000237481     1  229420150  229468834     33       3  682331       1.0411    0.0077791    4.4409e-16       1.0411
_SET1_   ENSG00000223393     1  230975592  231024761     40       8  682192       1.1544    0.0029015    4.4409e-16       1.1544
_SET1_   ENSG00000231663     1  234498553  234544339     34       7  676812       -1.653      0.55075    4.4409e-16       -1.653
_SET1_   ENSG00000231768     1  234653637  234702525     53       9  668070      -1.4218      0.48814    4.4409e-16      -1.4218
_SET1_   ENSG00000272865     1  242275816  242382431    143      18  682938     -0.37873     0.061691     4.996e-16     -0.37873
